iter	RMSE
0	1.452697366
1	1.428748915
2	1.408092029
3	1.391637516
4	1.377271443
5	1.365692214
6	1.355880498
7	1.347266871
8	1.340078592
9	1.334037105
10	1.328842497
11	1.324304151
12	1.320617878
13	1.317042469
14	1.31431289
15	1.312115507
16	1.309685894
17	1.307866759
18	1.306166756
19	1.304540219
20	1.303250774
21	1.302022259
22	1.300912827
23	1.299926561
24	1.29867298
25	1.297672815
26	1.296857744
27	1.295961087
28	1.295347535
29	1.294638965
30	1.294009108
31	1.293387355
32	1.292677021
33	1.292080585
34	1.291196309
35	1.290803803
36	1.29033182
37	1.289773566
38	1.288843968
39	1.288440455
40	1.287826537
41	1.28742407
42	1.286924844
43	1.286569904
44	1.286167013
45	1.285794464
46	1.285381613
47	1.285020355
48	1.284738003
49	1.284351786
50	1.283999411
51	1.28375607
52	1.283280109
53	1.282781255
54	1.28252176
55	1.282087393
56	1.281681173
57	1.281494396
58	1.281084873
59	1.280843466
60	1.280635814
61	1.280260421
62	1.279767119
63	1.27954882
64	1.279193524
65	1.278897613
66	1.278566608
67	1.278289102
68	1.278166177
69	1.277886118
70	1.277677395
71	1.277463225
72	1.276919381
73	1.27674382
74	1.276376444
75	1.275841258
76	1.275696281
77	1.275575377
78	1.275335542
79	1.275097161
80	1.274698585
81	1.274502718
82	1.274377575
83	1.274053384
84	1.273766627
85	1.273572236
86	1.273418097
87	1.27323345
88	1.272991175
89	1.272784306
90	1.272589438
91	1.272447255
92	1.27219752
93	1.272076417
94	1.271877816
95	1.271693178
96	1.271541184
97	1.271426365
98	1.271250005
99	1.271041954
