iter	Passed	Remaining
0	4	493
1	10	492
2	15	492
3	20	490
4	25	487
5	30	482
6	35	477
7	40	471
8	45	464
9	51	459
10	56	453
11	61	447
12	65	440
13	70	435
14	75	429
15	80	424
16	86	420
17	91	415
18	95	409
19	100	403
20	105	398
21	110	393
22	115	387
23	120	382
24	125	377
25	131	373
26	136	370
27	142	365
28	147	361
29	152	356
30	158	352
31	163	347
32	168	342
33	173	337
34	179	332
35	184	327
36	189	322
37	194	317
38	200	312
39	204	307
40	210	302
41	215	297
42	220	291
43	225	286
44	230	281
45	235	276
46	240	270
47	244	265
48	249	259
49	254	254
50	259	249
51	264	244
52	269	239
53	274	234
54	279	229
55	284	223
56	289	218
57	294	213
58	299	208
59	304	203
60	309	197
61	314	192
62	319	187
63	324	182
64	337	181
65	342	176
66	347	170
67	352	165
68	357	160
69	361	155
70	366	149
71	371	144
72	376	139
73	381	134
74	386	128
75	391	123
76	396	118
77	401	113
78	406	107
79	411	102
80	416	97
81	420	92
82	425	87
83	430	82
84	435	76
85	440	71
86	445	66
87	450	61
88	455	56
89	460	51
90	465	46
91	470	40
92	475	35
93	480	30
94	485	25
95	490	20
96	495	15
97	500	10
98	505	5
99	509	0
