feature,importance
assists_l20_weighted,23.49501282269276
assists_l20,16.97075990799446
assists_l10,8.537822706614326
assists_l10_weighted,8.422662456826098
assists_l5_weighted,2.9392724712150753
assists_per_36_l20,2.3452155808389756
assists_l5,2.0026843889412342
star_teammate_ppg,1.8054855075523453
days_since_asb,1.7716754107180388
minutes_played_l5_weighted,1.6551554792101895
opp_assists_allowed_to_position,1.3506258561780067
games_played_season,1.2039109303399091
games_in_last_7_days,1.2023396635589725
season_progress,1.1307750176251063
turnovers_l5_weighted,0.8309474118021047
pts_per_ast_l20,0.8286783858460034
is_starter_l10,0.7850997344934774
defensive_rating_l10,0.7804628094065839
defensive_rating_opp,0.7776358924252896
minutes_played_l5,0.7760603438791597
star_teammate_out,0.7658632598002603
games_in_last_3_days,0.7144933830841451
is_starter_l5,0.6568645068401902
points_l5,0.5124180953186298
points_l5_weighted,0.47444803979740446
pace_opp,0.42444048170008347
assists_per_36_l5,0.4044253667132975
arena_altitude,0.4002729933542453
turnovers_l10_weighted,0.3720048397272431
days_rest,0.3705634784430461
turnovers_l5,0.36876549407578524
games_remaining,0.36580633877616797
offensive_rating_team,0.35470014599796373
turnovers_l10,0.35294822571104467
position_guard,0.3436612578565327
defensive_rating_team,0.33403543406441694
is_home,0.3257971133030268
pts_per_ast_l5,0.3190299792924036
offensive_rating_opp,0.3023761024545124
points_l20_weighted,0.2940919159390009
opp_position_turnovers_vs_team,0.28945731799139335
offensive_rating_l10,0.2861904349255394
ast_to_ratio_l5,0.27537508914625347
three_pct_l10,0.26037087343810045
turnovers_l20,0.25944859449135416
minutes_trend,0.2581267093803835
games_without_star,0.25208985825348934
points_l10_weighted,0.25089257576934443
usage_rate_l20_weighted,0.24372537200883498
steals_per_36_l20,0.24054930760152007
usage_rate_l5,0.21437741585686843
opp_field_goal_pct,0.2096245778166915
rebounds_total_l20,0.20319146258640142
opp_points_allowed_to_position,0.20278731405350608
defensive_rating_l20,0.19928097635370903
steals_l5_weighted,0.1969613031272597
net_rating_l20,0.19371618564080054
usage_rate_l10_weighted,0.1880579580903131
ft_pct_l5,0.18682455711322088
opp_position_turnovers_overall,0.18161641417883437
points_per_36_l10,0.1811814956071372
three_pointers_made_per_36_l10,0.17827529300933978
assists_per_36_l10,0.17591907695392847
net_rating_l5,0.17003913295316278
three_pointers_made_l10,0.16073018142835951
pts_per_fga_l5,0.1604944391691292
usage_rate_l10,0.15882962569215006
points_l20,0.15684468420652795
minutes_played_l20,0.14950060719594616
pts_per_ast_l10,0.14448453824325888
turnovers_l20_weighted,0.14076855678524447
opp_three_pointers_allowed_to_position,0.13753183769607727
turnovers_per_36_l20,0.13660940394316032
opp_three_point_pct,0.13501797805578492
three_pointers_made_l20,0.1327800665599511
rebounds_total_l10,0.12743710509254572
three_pct_l20,0.1265768249719343
pace_team,0.124203314018937
minutes_played_l10_weighted,0.12283439987689383
usage_rate_l5_weighted,0.12193153815506826
minutes_played_l10,0.11818357474200746
fg_pct_l5,0.1174011472398024
opp_position_steals_vs_team,0.11734303959030636
defensive_rating_l5,0.11684171893469229
steals_per_36_l10,0.11681395260152395
rebounds_total_l20_weighted,0.11457761469368771
three_pointers_made_l10_weighted,0.11316357254649172
west_to_east,0.11292589410666805
opp_position_steals_overall,0.11003689806181761
three_pointers_made_l20_weighted,0.10481805591872491
blocks_per_36_l10,0.10342648900579203
opp_rebounds_allowed_to_position,0.10236027472739222
ft_pct_l20,0.09745215965634747
true_shooting_pct_l10,0.09611858607427642
three_pct_l5,0.09481187660906186
rebounds_total_per_36_l5,0.09443736901780284
pts_per_fga_l20,0.09435166828791035
three_pointers_made_l5_weighted,0.09406104340789993
tz_difference,0.0907476447290349
reb_rate_l10,0.08864040959574479
steals_l20,0.08636277527026236
opp_team_turnovers_per_game,0.08512418798729186
three_pointers_made_per_36_l20,0.08258195013185737
steals_per_36_l5,0.07731236137248503
true_shooting_pct_l5,0.07681967543785723
opp_team_steals_per_game,0.07651561986378176
rebounds_total_per_36_l20,0.07246519825753242
steals_l20_weighted,0.07198422519973394
fg_pct_l10,0.06859452314705763
rebounds_total_per_36_l10,0.06745537921456354
minutes_played_l20_weighted,0.06731591240488373
offensive_rating_l5,0.06692984172809527
consecutive_games,0.0655595301223721
blocks_l20,0.06402179129752135
steals_l10,0.0632025234444676
blocks_per_36_l5,0.06070876924625806
three_pointers_made_l5,0.060346518797096314
usage_rate_l20,0.05992577087162791
true_shooting_pct_l20,0.05712971432317625
ft_pct_l10,0.05677860309615802
ast_to_ratio_l10,0.055012490542126466
blocks_per_36_l20,0.05072309097049826
points_l10,0.04875309049291917
ast_to_ratio_l20,0.04703318310900454
turnovers_per_36_l5,0.046873035824005156
net_rating_l10,0.045793218807787806
reb_rate_l20,0.04553329995023654
altitude_away,0.04448070801509765
points_per_36_l5,0.04437217436221315
steals_l5,0.0437662362413753
is_early_season,0.042736140418018445
three_pointers_made_per_36_l5,0.03982381804724979
turnovers_per_36_l10,0.038292484610229945
blocks_l10,0.03806889678419486
rebounds_total_l5_weighted,0.036687043114076646
pts_per_fga_l10,0.035451864804200865
rebounds_total_l5,0.03242283195489675
blocks_l20_weighted,0.0316157173111876
blocks_l10_weighted,0.030158016882630936
rebounds_total_l10_weighted,0.026839017696749685
fg_pct_l20,0.024105412837621718
steals_l10_weighted,0.022799557346185866
blocks_l5_weighted,0.019837765904692835
east_to_west,0.019229415365854242
opp_blocks_allowed_to_position,0.0
position_forward,0.0
blocks_l5,0.0
is_well_rested,0.0
position_center,0.0
offensive_rating_l20,0.0
is_heavy_schedule,0.0
points_per_36_l20,0.0
reb_rate_l5,0.0
post_asb_bounce,0.0
playoff_games_career,0.0
playoff_performance_boost,0.0
is_back_to_back,0.0
is_late_season,0.0
is_mid_season,0.0
is_playoff,0.0
