feature,importance
turnovers_l20_weighted,17.76541285559117
turnovers_l20,14.115937728117286
minutes_played_l5_weighted,4.980541954352198
assists_l5,3.8995967424488196
opp_team_turnovers_per_game,3.4436216006022558
points_l5,3.0546180994097956
points_l10_weighted,2.8198784369287098
turnovers_l10,2.4364486701617105
assists_l5_weighted,2.405521804080631
assists_l20,1.9054767811643354
minutes_played_l20_weighted,1.8254398841012616
turnovers_l10_weighted,1.7410978366697718
star_teammate_ppg,1.7339363486901513
days_since_asb,1.7292098736936174
assists_per_36_l10,1.5295135338928745
usage_rate_l20,1.3448881911566377
season_progress,1.2758523426910482
assists_l20_weighted,1.2026065360755933
offensive_rating_l20,1.1417646484581427
net_rating_l5,1.1177219333735084
offensive_rating_team,0.8752720247979594
is_starter_l5,0.8608421165767222
points_l20,0.8378320904965341
games_played_season,0.7318816670796947
arena_altitude,0.7278978376055708
games_without_star,0.7238362036583204
points_l10,0.6924693271466952
days_rest,0.6786129983070837
defensive_rating_team,0.6350813153003778
usage_rate_l20_weighted,0.6277406808493536
defensive_rating_l20,0.6233519177290516
star_teammate_out,0.5799541209983146
points_l5_weighted,0.5305092121660769
rebounds_total_l20,0.5208168559313551
turnovers_per_36_l20,0.5079151978156402
rebounds_total_l10_weighted,0.4909360499863727
turnovers_l5_weighted,0.48716358891050154
usage_rate_l5_weighted,0.46664656369932295
opp_rebounds_allowed_to_position,0.45661662024723365
three_pointers_made_per_36_l5,0.451472721087867
assists_l10_weighted,0.42820091738153204
minutes_trend,0.42395628753536646
games_in_last_3_days,0.4106446259096738
assists_per_36_l20,0.4044501534310647
three_pointers_made_per_36_l20,0.38267450891083976
points_per_36_l5,0.3803036033132368
games_in_last_7_days,0.3648555090108019
minutes_played_l20,0.3557256120029957
turnovers_per_36_l10,0.3303301799491013
offensive_rating_opp,0.31937624688903765
reb_rate_l10,0.30300631558743696
net_rating_l10,0.29910392370892647
offensive_rating_l5,0.2989335393080307
assists_l10,0.28963479683909027
ast_to_ratio_l20,0.28143515047398365
pace_opp,0.2806262451967508
rebounds_total_l5,0.27941865482654654
ast_to_ratio_l10,0.2715322765538465
tz_difference,0.26965526878323726
opp_position_turnovers_vs_team,0.2629400291067288
three_pointers_made_l5_weighted,0.2624781675825174
defensive_rating_opp,0.2572009990188574
rebounds_total_l10,0.2545296643023854
pts_per_ast_l20,0.2501694192227109
turnovers_l5,0.24440530505749453
true_shooting_pct_l5,0.23208990124431655
ast_to_ratio_l5,0.22391249047907016
three_pointers_made_l20,0.22341095991769447
ft_pct_l5,0.2207465882772473
minutes_played_l10,0.21920996301827864
true_shooting_pct_l20,0.21785250937052084
pts_per_ast_l10,0.21675883298815224
usage_rate_l5,0.21473710339956617
offensive_rating_l10,0.20967690789304563
minutes_played_l10_weighted,0.20915685900095982
points_per_36_l10,0.20500223482521224
opp_three_point_pct,0.18214508120079137
turnovers_per_36_l5,0.1778567363723191
opp_position_steals_overall,0.17464456568089207
reb_rate_l5,0.1742495376811361
blocks_per_36_l20,0.17422275079075525
rebounds_total_per_36_l20,0.16714313403944203
minutes_played_l5,0.16709800998136234
blocks_l20,0.16249546546510887
usage_rate_l10,0.16037871979052812
defensive_rating_l5,0.15866187094523668
is_home,0.1520759269151734
ft_pct_l20,0.1470302412449312
three_pointers_made_l20_weighted,0.1363620351949942
pts_per_ast_l5,0.13552412024250743
opp_field_goal_pct,0.13421528453953996
rebounds_total_l20_weighted,0.1259823260295601
usage_rate_l10_weighted,0.12532604675221173
ft_pct_l10,0.12172535131011218
fg_pct_l10,0.12058613310815457
assists_per_36_l5,0.11491988487496764
opp_points_allowed_to_position,0.1083996762301198
fg_pct_l5,0.10140457100247419
defensive_rating_l10,0.09964711774176405
steals_per_36_l5,0.0993984524829844
three_pct_l20,0.09720432530823934
pts_per_fga_l5,0.09691633011774528
three_pointers_made_l10,0.09147846902079752
true_shooting_pct_l10,0.08796188608264487
rebounds_total_per_36_l5,0.08735809216979747
net_rating_l20,0.08697670985211461
rebounds_total_per_36_l10,0.08531958634300876
