feature,importance
assists_l20_weighted,142
star_teammate_ppg,89
opp_assists_allowed_to_position,68
days_since_asb,67
assists_per_36_l20,67
assists_l20,65
season_progress,64
defensive_rating_opp,60
days_rest,54
turnovers_l5_weighted,53
games_played_season,52
points_l5_weighted,52
assists_l10,50
pace_opp,45
assists_l5,45
minutes_played_l5_weighted,43
assists_per_36_l5,36
pts_per_ast_l20,35
assists_per_36_l10,32
offensive_rating_opp,32
defensive_rating_team,32
is_starter_l5,31
minutes_trend,31
assists_l5_weighted,30
assists_l10_weighted,30
opp_field_goal_pct,29
games_without_star,28
turnovers_l20,27
turnovers_l10_weighted,27
games_in_last_7_days,26
offensive_rating_team,25
steals_per_36_l20,25
star_teammate_out,25
points_l5,24
fg_pct_l5,24
turnovers_l10,24
turnovers_per_36_l20,23
three_pct_l5,23
opp_three_pointers_allowed_to_position,22
arena_altitude,22
ast_to_ratio_l5,22
games_remaining,22
opp_position_turnovers_overall,22
defensive_rating_l20,21
pts_per_ast_l5,21
opp_points_allowed_to_position,21
net_rating_l5,20
three_pointers_made_l20,20
ast_to_ratio_l20,20
usage_rate_l5_weighted,19
minutes_played_l20,19
net_rating_l10,18
opp_three_point_pct,18
minutes_played_l10_weighted,18
pace_team,18
steals_l10_weighted,17
rebounds_total_l5_weighted,17
defensive_rating_l10,17
ft_pct_l10,16
defensive_rating_l5,16
ft_pct_l20,16
points_l10,16
usage_rate_l5,16
pts_per_fga_l20,15
opp_position_turnovers_vs_team,15
turnovers_per_36_l10,15
three_pct_l10,15
steals_l20_weighted,15
fg_pct_l20,15
opp_position_steals_overall,15
opp_team_steals_per_game,15
rebounds_total_l20,15
opp_position_steals_vs_team,14
three_pointers_made_per_36_l10,14
points_l20_weighted,14
steals_per_36_l5,14
blocks_per_36_l5,14
usage_rate_l20,14
rebounds_total_l10,14
opp_rebounds_allowed_to_position,14
blocks_l10_weighted,14
usage_rate_l10_weighted,14
true_shooting_pct_l5,14
is_home,14
true_shooting_pct_l10,13
opp_blocks_allowed_to_position,13
turnovers_l20_weighted,13
minutes_played_l5,13
blocks_per_36_l20,13
opp_team_turnovers_per_game,13
rebounds_total_per_36_l20,13
minutes_played_l20_weighted,13
points_per_36_l10,13
turnovers_per_36_l5,12
pts_per_fga_l5,12
ast_to_ratio_l10,12
three_pointers_made_per_36_l20,12
steals_l5_weighted,12
blocks_per_36_l10,12
blocks_l5_weighted,12
steals_per_36_l10,12
position_guard,12
turnovers_l5,11
is_starter_l10,11
usage_rate_l20_weighted,11
offensive_rating_l10,11
three_pointers_made_per_36_l5,11
points_l20,11
fg_pct_l10,11
blocks_l20_weighted,10
tz_difference,10
ft_pct_l5,10
usage_rate_l10,10
offensive_rating_l5,10
net_rating_l20,10
rebounds_total_l20_weighted,10
true_shooting_pct_l20,10
pts_per_ast_l10,10
three_pct_l20,10
rebounds_total_per_36_l10,10
rebounds_total_per_36_l5,10
points_per_36_l20,10
points_per_36_l5,10
three_pointers_made_l20_weighted,9
three_pointers_made_l5,9
pts_per_fga_l10,9
steals_l20,9
three_pointers_made_l10,8
three_pointers_made_l5_weighted,8
three_pointers_made_l10_weighted,7
minutes_played_l10,7
consecutive_games,6
blocks_l20,6
blocks_l10,5
points_l10_weighted,5
steals_l5,5
rebounds_total_l5,5
reb_rate_l10,4
rebounds_total_l10_weighted,4
offensive_rating_l20,4
steals_l10,3
games_in_last_3_days,3
west_to_east,2
altitude_away,1
is_mid_season,1
is_early_season,1
is_heavy_schedule,1
is_back_to_back,1
reb_rate_l20,1
reb_rate_l5,1
blocks_l5,1
post_asb_bounce,0
east_to_west,0
is_late_season,0
is_well_rested,0
playoff_performance_boost,0
playoff_games_career,0
position_center,0
position_forward,0
is_playoff,0
