feature,importance
blocks_l20,134
blocks_l20_weighted,89
rebounds_total_l5_weighted,81
opp_blocks_allowed_to_position,76
days_since_asb,76
blocks_per_36_l20,64
rebounds_total_l20_weighted,60
arena_altitude,59
rebounds_total_per_36_l20,59
pace_opp,46
defensive_rating_opp,45
offensive_rating_opp,44
days_rest,43
minutes_played_l5_weighted,41
is_starter_l5,40
opp_position_turnovers_overall,40
minutes_trend,39
star_teammate_ppg,39
rebounds_total_l20,39
opp_position_steals_vs_team,37
games_played_season,37
three_pointers_made_per_36_l20,36
opp_assists_allowed_to_position,36
opp_team_steals_per_game,35
fg_pct_l20,35
defensive_rating_team,34
opp_team_turnovers_per_game,31
opp_rebounds_allowed_to_position,30
season_progress,30
fg_pct_l5,29
steals_l5_weighted,28
pts_per_ast_l20,27
opp_field_goal_pct,27
rebounds_total_l10_weighted,27
offensive_rating_team,27
steals_per_36_l20,26
steals_l20_weighted,26
assists_per_36_l20,25
three_pointers_made_l20,24
assists_per_36_l10,24
opp_position_turnovers_vs_team,23
rebounds_total_per_36_l10,23
ast_to_ratio_l20,23
three_pointers_made_per_36_l10,22
steals_l20,22
points_l5_weighted,22
opp_three_pointers_allowed_to_position,21
assists_l20,21
opp_position_steals_overall,21
blocks_l10_weighted,21
pts_per_fga_l20,21
steals_per_36_l10,20
true_shooting_pct_l5,20
games_in_last_7_days,20
fg_pct_l10,20
games_remaining,19
opp_points_allowed_to_position,19
pts_per_ast_l5,18
pts_per_fga_l10,18
net_rating_l20,18
true_shooting_pct_l20,18
defensive_rating_l20,18
usage_rate_l10,17
pts_per_ast_l10,17
reb_rate_l20,17
is_starter_l10,16
games_without_star,16
points_l20,16
three_pointers_made_per_36_l5,16
defensive_rating_l5,16
defensive_rating_l10,15
assists_l5_weighted,15
steals_per_36_l5,15
rebounds_total_per_36_l5,15
true_shooting_pct_l10,15
rebounds_total_l5,15
turnovers_l20_weighted,15
turnovers_l20,14
pace_team,14
pts_per_fga_l5,14
blocks_l5_weighted,14
ft_pct_l20,13
offensive_rating_l20,13
assists_per_36_l5,13
steals_l10_weighted,12
ast_to_ratio_l5,12
rebounds_total_l10,12
turnovers_per_36_l20,12
opp_three_point_pct,12
usage_rate_l5,12
three_pct_l20,12
ft_pct_l10,12
points_per_36_l5,12
usage_rate_l20_weighted,12
offensive_rating_l5,12
points_per_36_l20,11
net_rating_l10,11
steals_l10,11
assists_l10,11
minutes_played_l5,11
turnovers_per_36_l10,11
blocks_per_36_l10,11
three_pointers_made_l20_weighted,11
net_rating_l5,11
minutes_played_l20_weighted,10
turnovers_per_36_l5,10
turnovers_l10_weighted,10
usage_rate_l10_weighted,9
three_pct_l10,9
points_l20_weighted,9
blocks_per_36_l5,9
three_pct_l5,8
tz_difference,8
points_l5,8
usage_rate_l5_weighted,8
ast_to_ratio_l10,8
position_guard,8
points_per_36_l10,8
minutes_played_l20,7
consecutive_games,7
offensive_rating_l10,7
is_home,7
minutes_played_l10,7
usage_rate_l20,7
assists_l10_weighted,7
three_pointers_made_l5_weighted,6
assists_l5,5
east_to_west,5
points_l10,5
blocks_l10,5
star_teammate_out,5
turnovers_l5_weighted,5
three_pointers_made_l10,4
minutes_played_l10_weighted,4
three_pointers_made_l5,3
assists_l20_weighted,3
reb_rate_l10,3
three_pointers_made_l10_weighted,3
games_in_last_3_days,3
ft_pct_l5,3
position_center,2
reb_rate_l5,2
turnovers_l10,2
west_to_east,1
is_well_rested,1
blocks_l5,1
steals_l5,1
points_l10_weighted,1
is_playoff,0
post_asb_bounce,0
is_late_season,0
is_mid_season,0
is_early_season,0
is_heavy_schedule,0
is_back_to_back,0
playoff_performance_boost,0
playoff_games_career,0
position_forward,0
turnovers_l5,0
altitude_away,0
