feature,importance
points_l20_weighted,120
star_teammate_ppg,106
pace_opp,72
days_rest,71
season_progress,69
minutes_played_l5_weighted,68
days_since_asb,66
games_played_season,59
usage_rate_l20,58
defensive_rating_opp,50
points_l5_weighted,50
usage_rate_l20_weighted,45
games_without_star,42
points_l20,42
star_teammate_out,41
is_starter_l5,33
three_pct_l10,33
games_in_last_7_days,32
opp_position_turnovers_overall,31
three_pct_l20,29
minutes_trend,29
defensive_rating_team,28
offensive_rating_opp,28
points_per_36_l20,27
usage_rate_l10_weighted,27
pts_per_ast_l5,26
arena_altitude,26
net_rating_l20,25
ft_pct_l20,25
offensive_rating_team,25
fg_pct_l20,24
assists_l5_weighted,24
usage_rate_l5_weighted,24
three_pointers_made_per_36_l5,24
opp_assists_allowed_to_position,24
opp_field_goal_pct,24
three_pointers_made_per_36_l20,24
opp_team_steals_per_game,23
points_l5,23
fg_pct_l10,23
three_pointers_made_l20,23
points_l10,23
is_starter_l10,22
true_shooting_pct_l5,22
opp_team_turnovers_per_game,22
turnovers_l20,22
three_pointers_made_l10_weighted,21
true_shooting_pct_l10,21
assists_per_36_l20,20
net_rating_l10,20
pace_team,20
opp_points_allowed_to_position,20
games_remaining,20
points_per_36_l5,19
three_pointers_made_per_36_l10,19
offensive_rating_l20,19
steals_per_36_l10,18
true_shooting_pct_l20,18
ast_to_ratio_l20,17
opp_three_pointers_allowed_to_position,17
fg_pct_l5,17
rebounds_total_per_36_l10,17
steals_per_36_l20,17
turnovers_l20_weighted,16
rebounds_total_l20,16
rebounds_total_per_36_l5,16
turnovers_per_36_l20,16
blocks_l5_weighted,15
pts_per_fga_l5,15
ft_pct_l10,15
assists_l20,15
ft_pct_l5,15
rebounds_total_l10,15
minutes_played_l20,15
offensive_rating_l10,15
assists_per_36_l5,14
minutes_played_l5,14
pts_per_ast_l20,14
minutes_played_l20_weighted,14
points_l10_weighted,14
opp_position_steals_overall,14
ast_to_ratio_l5,14
net_rating_l5,14
defensive_rating_l5,14
defensive_rating_l20,14
turnovers_l5_weighted,14
rebounds_total_per_36_l20,13
steals_l5_weighted,13
assists_per_36_l10,13
assists_l5,13
steals_l10_weighted,13
opp_three_point_pct,13
pts_per_fga_l20,13
minutes_played_l10,13
turnovers_per_36_l10,12
pts_per_fga_l10,12
three_pointers_made_l20_weighted,12
three_pointers_made_l5_weighted,12
three_pointers_made_l10,12
minutes_played_l10_weighted,12
steals_per_36_l5,12
usage_rate_l5,12
turnovers_l5,11
opp_blocks_allowed_to_position,11
blocks_l20_weighted,11
defensive_rating_l10,11
usage_rate_l10,10
blocks_per_36_l10,10
turnovers_l10,10
opp_rebounds_allowed_to_position,10
three_pct_l5,10
consecutive_games,10
turnovers_l10_weighted,10
points_per_36_l10,9
pts_per_ast_l10,9
rebounds_total_l10_weighted,9
assists_l10,9
ast_to_ratio_l10,9
offensive_rating_l5,9
three_pointers_made_l5,8
assists_l20_weighted,8
tz_difference,8
steals_l20_weighted,8
blocks_per_36_l5,8
is_home,8
turnovers_per_36_l5,8
rebounds_total_l5_weighted,8
rebounds_total_l20_weighted,7
steals_l10,7
opp_position_turnovers_vs_team,7
assists_l10_weighted,7
blocks_per_36_l20,7
steals_l20,6
blocks_l10_weighted,6
steals_l5,6
opp_position_steals_vs_team,6
east_to_west,5
reb_rate_l20,4
rebounds_total_l5,4
blocks_l20,4
blocks_l10,3
games_in_last_3_days,2
post_asb_bounce,2
blocks_l5,2
reb_rate_l5,2
is_mid_season,1
is_back_to_back,1
reb_rate_l10,1
is_playoff,0
west_to_east,0
is_late_season,0
is_early_season,0
is_well_rested,0
is_heavy_schedule,0
playoff_performance_boost,0
playoff_games_career,0
position_center,0
position_forward,0
position_guard,0
altitude_away,0
