feature,importance
rebounds_total_l20_weighted,134
rebounds_total_l20,81
rebounds_total_per_36_l20,77
days_rest,75
season_progress,74
minutes_played_l5_weighted,68
days_since_asb,68
star_teammate_ppg,62
games_played_season,59
pace_opp,53
rebounds_total_per_36_l5,53
rebounds_total_l5_weighted,46
points_l5_weighted,43
is_starter_l5,41
rebounds_total_l10,41
rebounds_total_l10_weighted,40
defensive_rating_team,38
opp_rebounds_allowed_to_position,37
rebounds_total_per_36_l10,37
games_remaining,35
opp_field_goal_pct,34
minutes_trend,32
fg_pct_l10,32
defensive_rating_opp,32
blocks_l5_weighted,31
opp_position_turnovers_vs_team,30
arena_altitude,30
opp_position_steals_overall,28
offensive_rating_opp,28
steals_l5_weighted,28
games_in_last_7_days,28
offensive_rating_team,26
rebounds_total_l5,25
opp_team_steals_per_game,25
games_without_star,24
pts_per_fga_l20,24
true_shooting_pct_l5,24
fg_pct_l5,24
blocks_per_36_l20,23
opp_three_pointers_allowed_to_position,23
fg_pct_l20,23
opp_position_turnovers_overall,23
reb_rate_l20,22
pace_team,22
ft_pct_l20,22
blocks_l20_weighted,22
position_guard,21
net_rating_l5,21
net_rating_l10,20
offensive_rating_l20,20
defensive_rating_l5,20
pts_per_fga_l5,19
star_teammate_out,19
opp_points_allowed_to_position,18
turnovers_per_36_l10,18
ast_to_ratio_l20,18
defensive_rating_l10,18
minutes_played_l10,18
opp_position_steals_vs_team,18
opp_three_point_pct,17
opp_assists_allowed_to_position,17
steals_per_36_l5,17
turnovers_l20,16
turnovers_per_36_l20,16
three_pct_l20,16
pts_per_fga_l10,16
defensive_rating_l20,15
opp_team_turnovers_per_game,15
minutes_played_l20,15
turnovers_l5_weighted,15
assists_per_36_l5,14
minutes_played_l5,14
points_l5,14
true_shooting_pct_l10,14
true_shooting_pct_l20,14
points_per_36_l5,14
tz_difference,14
turnovers_l10,14
blocks_l10_weighted,13
minutes_played_l20_weighted,13
assists_l5_weighted,13
three_pointers_made_per_36_l5,13
assists_per_36_l20,13
usage_rate_l10_weighted,13
usage_rate_l20,13
ft_pct_l10,13
pts_per_ast_l5,13
blocks_l20,13
turnovers_l20_weighted,13
net_rating_l20,13
steals_l20,12
ast_to_ratio_l5,12
reb_rate_l10,12
three_pointers_made_per_36_l20,12
minutes_played_l10_weighted,12
three_pointers_made_l20_weighted,12
three_pointers_made_per_36_l10,11
three_pct_l10,11
reb_rate_l5,11
three_pointers_made_l20,11
steals_per_36_l20,11
consecutive_games,10
assists_l20,10
points_l10_weighted,10
pts_per_ast_l10,10
blocks_per_36_l10,10
turnovers_per_36_l5,10
points_per_36_l20,10
usage_rate_l10,10
offensive_rating_l10,10
steals_l20_weighted,10
assists_l20_weighted,10
points_l20_weighted,10
ft_pct_l5,10
blocks_per_36_l5,10
steals_per_36_l10,10
usage_rate_l20_weighted,9
ast_to_ratio_l10,9
blocks_l5,9
is_starter_l10,9
assists_l10,9
blocks_l10,9
points_l20,9
opp_blocks_allowed_to_position,9
points_l10,8
turnovers_l10_weighted,8
pts_per_ast_l20,8
assists_per_36_l10,7
assists_l5,7
three_pct_l5,6
offensive_rating_l5,6
steals_l10_weighted,6
usage_rate_l5_weighted,6
usage_rate_l5,6
three_pointers_made_l10_weighted,5
is_home,5
east_to_west,5
assists_l10_weighted,5
three_pointers_made_l5,5
points_per_36_l10,4
turnovers_l5,3
is_well_rested,3
three_pointers_made_l5_weighted,2
games_in_last_3_days,2
position_center,2
altitude_away,1
is_mid_season,1
three_pointers_made_l10,1
steals_l10,1
post_asb_bounce,0
west_to_east,0
is_late_season,0
is_early_season,0
is_heavy_schedule,0
is_back_to_back,0
playoff_performance_boost,0
playoff_games_career,0
position_forward,0
steals_l5,0
is_playoff,0
