feature,importance
minutes_played_l5_weighted,121
steals_l20,112
opp_team_steals_per_game,110
steals_l20_weighted,104
days_rest,90
days_since_asb,78
star_teammate_ppg,76
season_progress,62
opp_position_steals_vs_team,60
defensive_rating_opp,56
minutes_trend,55
games_without_star,46
steals_per_36_l20,45
offensive_rating_team,43
offensive_rating_opp,40
opp_assists_allowed_to_position,39
blocks_per_36_l20,36
assists_l5_weighted,35
assists_l20_weighted,31
star_teammate_out,31
is_starter_l5,31
opp_rebounds_allowed_to_position,31
assists_per_36_l10,31
pts_per_ast_l20,30
arena_altitude,29
games_remaining,27
pace_team,27
assists_per_36_l20,27
minutes_played_l10_weighted,27
opp_points_allowed_to_position,26
blocks_l20_weighted,26
defensive_rating_l5,25
defensive_rating_team,25
blocks_per_36_l10,25
opp_three_point_pct,24
games_played_season,24
three_pct_l20,23
true_shooting_pct_l20,23
ast_to_ratio_l10,23
pace_opp,23
offensive_rating_l10,22
three_pointers_made_per_36_l20,22
steals_l5_weighted,22
tz_difference,21
opp_position_steals_overall,21
net_rating_l10,21
points_l5_weighted,20
minutes_played_l5,20
true_shooting_pct_l5,20
opp_team_turnovers_per_game,20
opp_three_pointers_allowed_to_position,20
assists_l20,20
position_guard,20
rebounds_total_per_36_l20,19
rebounds_total_l20_weighted,18
true_shooting_pct_l10,18
three_pct_l10,18
assists_l10_weighted,18
minutes_played_l10,17
pts_per_fga_l20,17
ast_to_ratio_l20,17
turnovers_l20_weighted,17
net_rating_l5,16
rebounds_total_l20,16
ast_to_ratio_l5,16
opp_position_turnovers_vs_team,16
defensive_rating_l10,16
defensive_rating_l20,15
rebounds_total_l5_weighted,15
opp_position_turnovers_overall,15
fg_pct_l20,15
points_l20,15
offensive_rating_l20,15
minutes_played_l20,15
three_pointers_made_l20_weighted,15
pts_per_ast_l5,14
steals_per_36_l5,14
minutes_played_l20_weighted,14
pts_per_fga_l5,13
opp_field_goal_pct,13
assists_per_36_l5,13
pts_per_ast_l10,13
points_per_36_l20,13
ft_pct_l20,13
blocks_l20,13
usage_rate_l5,13
is_starter_l10,12
rebounds_total_per_36_l10,12
pts_per_fga_l10,12
steals_l10_weighted,12
fg_pct_l5,12
usage_rate_l5_weighted,11
blocks_l10_weighted,11
usage_rate_l20,11
games_in_last_7_days,11
turnovers_per_36_l10,11
three_pointers_made_l20,11
consecutive_games,11
fg_pct_l10,11
three_pct_l5,10
assists_l5,10
net_rating_l20,10
points_l10_weighted,10
steals_per_36_l10,10
usage_rate_l20_weighted,9
opp_blocks_allowed_to_position,9
points_l10,9
three_pointers_made_per_36_l5,9
assists_l10,9
ft_pct_l10,9
turnovers_per_36_l5,9
rebounds_total_per_36_l5,8
points_per_36_l10,8
turnovers_per_36_l20,8
offensive_rating_l5,8
rebounds_total_l10,8
turnovers_l20,7
usage_rate_l10,7
blocks_l5_weighted,7
blocks_per_36_l5,7
points_l20_weighted,6
rebounds_total_l10_weighted,6
turnovers_l5_weighted,6
points_l5,6
steals_l10,5
reb_rate_l20,5
reb_rate_l5,5
usage_rate_l10_weighted,5
points_per_36_l5,5
three_pointers_made_l5_weighted,4
turnovers_l10_weighted,4
three_pointers_made_l10_weighted,4
three_pointers_made_l10,4
blocks_l10,4
games_in_last_3_days,4
three_pointers_made_per_36_l10,4
rebounds_total_l5,3
ft_pct_l5,3
reb_rate_l10,3
turnovers_l10,3
east_to_west,2
three_pointers_made_l5,2
steals_l5,2
is_well_rested,2
altitude_away,1
west_to_east,1
position_forward,1
post_asb_bounce,0
is_late_season,0
is_mid_season,0
is_early_season,0
is_heavy_schedule,0
is_back_to_back,0
is_home,0
playoff_performance_boost,0
playoff_games_career,0
position_center,0
turnovers_l5,0
blocks_l5,0
is_playoff,0
