feature,importance
three_pointers_made_l20_weighted,130
three_pct_l20,114
three_pointers_made_l20,88
three_pointers_made_per_36_l20,80
three_pct_l10,65
minutes_played_l5_weighted,60
days_rest,58
days_since_asb,50
star_teammate_ppg,47
opp_three_pointers_allowed_to_position,46
three_pointers_made_l10_weighted,45
ft_pct_l20,40
games_played_season,39
defensive_rating_opp,38
three_pointers_made_l5_weighted,37
three_pct_l5,36
fg_pct_l20,35
pace_opp,33
three_pointers_made_per_36_l10,31
opp_assists_allowed_to_position,31
season_progress,31
fg_pct_l10,30
three_pointers_made_per_36_l5,30
offensive_rating_team,28
three_pointers_made_l10,28
opp_field_goal_pct,27
opp_points_allowed_to_position,27
minutes_played_l20,27
is_starter_l5,27
defensive_rating_team,25
offensive_rating_opp,25
star_teammate_out,25
games_without_star,25
defensive_rating_l5,24
opp_position_turnovers_overall,24
pace_team,24
arena_altitude,23
minutes_trend,23
opp_position_steals_overall,23
steals_per_36_l20,23
opp_three_point_pct,23
turnovers_per_36_l5,22
pts_per_ast_l20,22
opp_team_steals_per_game,22
assists_l20,22
rebounds_total_per_36_l20,22
assists_l10,22
blocks_per_36_l20,21
defensive_rating_l10,21
opp_rebounds_allowed_to_position,20
minutes_played_l10,20
three_pointers_made_l5,20
points_l20,20
ast_to_ratio_l20,19
pts_per_fga_l5,19
games_in_last_7_days,19
consecutive_games,18
steals_l5_weighted,18
pts_per_fga_l20,17
points_l10,17
rebounds_total_per_36_l10,17
true_shooting_pct_l20,17
points_l5,17
opp_position_steals_vs_team,17
ft_pct_l10,17
true_shooting_pct_l5,17
turnovers_l5_weighted,16
usage_rate_l20_weighted,16
ft_pct_l5,16
rebounds_total_per_36_l5,16
pts_per_fga_l10,16
blocks_l10_weighted,15
net_rating_l20,15
minutes_played_l5,15
steals_l20_weighted,15
opp_team_turnovers_per_game,15
turnovers_per_36_l10,14
points_l5_weighted,14
defensive_rating_l20,14
points_l20_weighted,14
ast_to_ratio_l10,14
minutes_played_l10_weighted,14
opp_position_turnovers_vs_team,14
steals_per_36_l5,14
points_per_36_l5,14
usage_rate_l20,14
usage_rate_l10,14
turnovers_per_36_l20,13
net_rating_l5,13
fg_pct_l5,13
rebounds_total_l5_weighted,13
points_l10_weighted,12
assists_l20_weighted,12
minutes_played_l20_weighted,12
offensive_rating_l10,12
tz_difference,12
usage_rate_l5_weighted,12
turnovers_l20,12
points_per_36_l20,12
assists_per_36_l20,12
usage_rate_l5,12
pts_per_ast_l10,11
reb_rate_l20,11
rebounds_total_l10_weighted,11
assists_l5_weighted,11
steals_per_36_l10,10
points_per_36_l10,10
offensive_rating_l20,10
ast_to_ratio_l5,10
games_remaining,10
usage_rate_l10_weighted,10
steals_l10_weighted,9
turnovers_l5,9
assists_l5,9
rebounds_total_l10,9
opp_blocks_allowed_to_position,9
blocks_per_36_l10,9
is_home,8
turnovers_l10_weighted,8
assists_l10_weighted,8
blocks_l5_weighted,8
assists_per_36_l5,8
blocks_l20_weighted,8
blocks_per_36_l5,7
offensive_rating_l5,7
steals_l20,7
is_starter_l10,7
rebounds_total_l20,7
true_shooting_pct_l10,7
net_rating_l10,7
blocks_l5,6
pts_per_ast_l5,6
rebounds_total_l20_weighted,5
blocks_l20,5
reb_rate_l10,5
assists_per_36_l10,5
turnovers_l20_weighted,4
rebounds_total_l5,4
steals_l10,4
is_well_rested,3
west_to_east,2
reb_rate_l5,2
is_mid_season,2
turnovers_l10,2
steals_l5,1
blocks_l10,1
games_in_last_3_days,1
is_playoff,0
post_asb_bounce,0
east_to_west,0
is_late_season,0
is_early_season,0
is_heavy_schedule,0
is_back_to_back,0
playoff_performance_boost,0
playoff_games_career,0
position_center,0
position_forward,0
position_guard,0
altitude_away,0
