feature,importance
opp_team_turnovers_per_game,111
star_teammate_ppg,74
turnovers_l20,70
assists_l5_weighted,57
season_progress,57
turnovers_l20_weighted,56
offensive_rating_team,55
defensive_rating_team,54
games_without_star,52
days_since_asb,51
days_rest,42
points_l5,39
turnovers_per_36_l20,37
three_pointers_made_per_36_l5,37
points_l5_weighted,37
assists_l10_weighted,35
opp_three_point_pct,33
usage_rate_l20,32
opp_position_turnovers_vs_team,31
arena_altitude,31
pace_opp,30
minutes_trend,30
assists_l20_weighted,29
minutes_played_l5_weighted,29
ast_to_ratio_l10,29
star_teammate_out,29
rebounds_total_per_36_l20,29
assists_per_36_l20,28
usage_rate_l5,28
defensive_rating_opp,28
games_played_season,27
usage_rate_l20_weighted,27
opp_position_steals_overall,27
assists_l5,27
turnovers_l10,26
opp_team_steals_per_game,26
rebounds_total_l20,25
assists_per_36_l5,25
three_pointers_made_per_36_l10,24
rebounds_total_l5,24
assists_per_36_l10,24
ast_to_ratio_l5,23
three_pct_l10,23
three_pct_l5,23
pace_team,23
three_pointers_made_l20,22
opp_rebounds_allowed_to_position,21
turnovers_per_36_l10,21
points_l10_weighted,21
opp_blocks_allowed_to_position,21
usage_rate_l10_weighted,20
rebounds_total_l20_weighted,20
turnovers_per_36_l5,20
points_per_36_l5,20
assists_l10,20
assists_l20,20
fg_pct_l20,19
opp_field_goal_pct,19
usage_rate_l5_weighted,19
rebounds_total_l5_weighted,19
turnovers_l5_weighted,19
three_pointers_made_per_36_l20,19
steals_l5_weighted,18
offensive_rating_l10,18
points_l20_weighted,18
net_rating_l10,18
ast_to_ratio_l20,17
steals_per_36_l20,17
ft_pct_l10,17
pts_per_ast_l5,17
opp_points_allowed_to_position,17
rebounds_total_l10,17
net_rating_l5,17
three_pointers_made_l10,17
points_l20,17
offensive_rating_l5,17
is_starter_l5,16
opp_three_pointers_allowed_to_position,16
true_shooting_pct_l5,16
blocks_per_36_l20,16
offensive_rating_opp,16
pts_per_ast_l20,16
turnovers_l10_weighted,15
fg_pct_l5,15
opp_assists_allowed_to_position,15
offensive_rating_l20,15
points_per_36_l20,14
opp_position_turnovers_overall,14
opp_position_steals_vs_team,14
minutes_played_l20_weighted,13
defensive_rating_l5,13
pts_per_fga_l20,13
three_pointers_made_l20_weighted,13
minutes_played_l5,13
turnovers_l5,13
tz_difference,12
pts_per_fga_l5,12
minutes_played_l10,12
minutes_played_l20,12
ft_pct_l20,12
true_shooting_pct_l10,12
three_pct_l20,12
net_rating_l20,12
defensive_rating_l10,12
defensive_rating_l20,12
ft_pct_l5,11
games_in_last_7_days,11
steals_l10_weighted,11
usage_rate_l10,11
steals_l20_weighted,11
three_pointers_made_l5_weighted,11
steals_per_36_l10,11
rebounds_total_per_36_l5,10
points_l10,10
blocks_l5_weighted,10
consecutive_games,10
points_per_36_l10,10
steals_per_36_l5,10
games_remaining,10
rebounds_total_l10_weighted,10
three_pointers_made_l10_weighted,10
blocks_l10_weighted,9
blocks_per_36_l10,9
blocks_l20,9
reb_rate_l5,8
blocks_l20_weighted,8
fg_pct_l10,8
games_in_last_3_days,8
blocks_per_36_l5,8
pts_per_fga_l10,8
three_pointers_made_l5,8
true_shooting_pct_l20,8
pts_per_ast_l10,7
rebounds_total_per_36_l10,7
minutes_played_l10_weighted,7
steals_l5,6
steals_l20,6
is_home,6
reb_rate_l20,5
is_starter_l10,4
steals_l10,3
post_asb_bounce,3
blocks_l5,3
west_to_east,2
reb_rate_l10,2
blocks_l10,1
east_to_west,1
is_early_season,1
is_back_to_back,1
position_guard,1
is_playoff,0
is_late_season,0
is_mid_season,0
is_well_rested,0
is_heavy_schedule,0
playoff_performance_boost,0
playoff_games_career,0
position_center,0
position_forward,0
altitude_away,0
