feature,importance
rebounds_total_l20_weighted,0.8466825489178601
games_played_season,0.006028438685557436
rebounds_total_l20,0.004017002833883573
minutes_played_l5_weighted,0.003992299412806338
star_teammate_ppg,0.003717467304880962
season_progress,0.003692583068906761
days_since_asb,0.0036144997339549252
days_rest,0.003082743265390248
rebounds_total_l10_weighted,0.0024311029758659793
pace_opp,0.0022379803888336754
points_l5_weighted,0.0021412766731150213
rebounds_total_l5_weighted,0.0021182486549484307
opp_rebounds_allowed_to_position,0.0021013815547387387
minutes_played_l20,0.0019098884996366803
blocks_per_36_l20,0.001705262584406869
net_rating_l5,0.001659151217562069
fg_pct_l20,0.0015990996961220136
offensive_rating_opp,0.0015957070697588604
defensive_rating_team,0.0015453756735971497
pts_per_fga_l20,0.0014709367229906185
fg_pct_l5,0.0014673043621476142
opp_points_allowed_to_position,0.0014650234152354805
defensive_rating_l5,0.0014549547273757873
defensive_rating_opp,0.0014279065367343033
opp_position_turnovers_vs_team,0.0013902911087437977
fg_pct_l10,0.0013834105064049966
true_shooting_pct_l20,0.0013808077241994842
pts_per_fga_l10,0.00136195342677311
opp_assists_allowed_to_position,0.001361345823150409
true_shooting_pct_l10,0.0013508646876993105
opp_field_goal_pct,0.0012875228484290665
opp_position_turnovers_overall,0.0012812881999168999
minutes_played_l5,0.0012693258550664863
pace_team,0.001259403437105894
is_starter_l5,0.0012445771238358454
rebounds_total_per_36_l20,0.0012387681890374076
blocks_l20_weighted,0.001226990566455294
reb_rate_l20,0.0012223602861035569
offensive_rating_team,0.0012034617415669678
minutes_trend,0.001202299697370955
pts_per_ast_l20,0.001175436516167672
blocks_l5_weighted,0.0011669482641917452
pts_per_fga_l5,0.001163512227786631
opp_three_point_pct,0.0011530103008117432
steals_per_36_l20,0.0011427276000188942
turnovers_per_36_l5,0.0011331294863761636
true_shooting_pct_l5,0.001131045075399204
ft_pct_l20,0.0010983938171451654
opp_team_steals_per_game,0.0010978796202575159
three_pct_l20,0.0010801668432931513
games_without_star,0.0010796972842681816
opp_team_turnovers_per_game,0.0010783985968768183
turnovers_per_36_l10,0.0010723621562996825
ast_to_ratio_l20,0.0010635920745615892
blocks_per_36_l10,0.0010474221292980405
opp_position_steals_vs_team,0.0010381093067485777
games_in_last_7_days,0.0010307362838291945
pts_per_ast_l5,0.0010254741153565437
opp_position_steals_overall,0.0010251841120716412
opp_blocks_allowed_to_position,0.0010158073788481194
steals_per_36_l5,0.0010116181445269348
turnovers_l5_weighted,0.000997358977698969
ast_to_ratio_l5,0.0009939769049815512
defensive_rating_l20,0.000975423154516495
rebounds_total_l10,0.0009648805360645007
blocks_l10_weighted,0.0009584009806388426
minutes_played_l20_weighted,0.000954592554633449
opp_three_pointers_allowed_to_position,0.0009470028016217843
turnovers_per_36_l20,0.0009378558018192154
minutes_played_l10,0.0009331095311455437
steals_per_36_l10,0.0009280322918143825
pts_per_ast_l10,0.0009191496658226104
blocks_per_36_l5,0.0009100293855726955
points_per_36_l20,0.0009007452931202586
ft_pct_l10,0.0008963337819492849
offensive_rating_l5,0.0008923581715632715
minutes_played_l10_weighted,0.0008738486155921882
net_rating_l20,0.000870327534588218
net_rating_l10,0.0008618645194443945
defensive_rating_l10,0.0008604692355966771
points_per_36_l5,0.0008442693816022263
offensive_rating_l20,0.0008345391370432799
games_in_last_3_days,0.0008321163495750708
points_l10_weighted,0.000826441914239264
points_l20,0.0008061816665706677
ast_to_ratio_l10,0.0008009835174568068
assists_per_36_l20,0.0007958040485051541
points_l20_weighted,0.0007826634677635716
usage_rate_l10,0.0007801343776076912
three_pct_l10,0.0007629017807854941
reb_rate_l5,0.0007609217694284385
rebounds_total_per_36_l5,0.0007534519199184466
steals_l20_weighted,0.0007515299444971668
games_remaining,0.0007454520374728494
usage_rate_l5_weighted,0.0007412413807169312
assists_per_36_l5,0.0007392758617870123
turnovers_l10_weighted,0.0007318891782396132
steals_l10_weighted,0.0007277165904097428
reb_rate_l10,0.0007253813387000493
offensive_rating_l10,0.0007209401055161882
usage_rate_l20,0.0006992920452382037
rebounds_total_per_36_l10,0.0006942356280185791
points_per_36_l10,0.000692672980900623
assists_per_36_l10,0.0006895150053068431
three_pointers_made_per_36_l20,0.000685178999201773
assists_l5_weighted,0.000682784130350858
tz_difference,0.0006823737478859272
ft_pct_l5,0.0006742566098416959
usage_rate_l5,0.0006711445819864927
arena_altitude,0.0006563185168743294
turnovers_l20_weighted,0.0006407894019520682
rebounds_total_l5,0.0006362471538034233
steals_l5_weighted,0.0006173152899232383
assists_l20_weighted,0.000597177294150118
three_pointers_made_per_36_l5,0.0005820540344915531
blocks_l20,0.0005628929568744924
assists_l20,0.0005394142244117752
usage_rate_l10_weighted,0.0005325731899548116
points_l10,0.0005286568962277155
assists_l10_weighted,0.000497537540290985
usage_rate_l20_weighted,0.0004815273980177096
turnovers_l20,0.000480827418226787
three_pointers_made_per_36_l10,0.00047697435333939194
is_starter_l10,0.0004446619955557202
steals_l20,0.0004415595024920523
consecutive_games,0.0004388617623983242
points_l5,0.000433584526985962
three_pct_l5,0.00037450454736402244
three_pointers_made_l20_weighted,0.00035726103029928673
three_pointers_made_l10_weighted,0.0003470119536809817
steals_l10,0.00033596891926283146
three_pointers_made_l20,0.00031896362154313235
three_pointers_made_l5_weighted,0.0003157327722516913
blocks_l10,0.0002863010303036927
star_teammate_out,0.00027463087312530257
turnovers_l10,0.00024586747045582337
assists_l10,0.0001974906516805292
assists_l5,0.00019097438590784326
turnovers_l5,0.00014987728488505825
blocks_l5,0.00014858444126477548
three_pointers_made_l10,0.00013272616195528968
position_guard,0.00012210061564535865
steals_l5,0.00011470604751795403
is_home,0.00010929140612673028
is_well_rested,0.00010513422028183719
three_pointers_made_l5,8.234017970000257e-05
east_to_west,6.1021387853357305e-05
post_asb_bounce,5.301777000852141e-05
is_back_to_back,3.9643767477067995e-05
west_to_east,3.919823146595852e-05
position_forward,3.844168072487755e-05
is_heavy_schedule,3.392907201938991e-05
position_center,2.2695168977985713e-05
is_mid_season,1.8880644531214304e-05
altitude_away,1.762922233272856e-05
is_late_season,7.1075678661948214e-06
is_early_season,5.438650466728115e-06
playoff_performance_boost,0.0
playoff_games_career,0.0
is_playoff,0.0
