feature,importance
three_pointers_made_l20_weighted,0.7472905244899943
three_pct_l20,0.016718428501286416
three_pointers_made_l20,0.01216446786521976
three_pct_l10,0.010973736618517641
minutes_played_l5_weighted,0.0055692878800828296
days_since_asb,0.004304749765538499
fg_pct_l20,0.00367942850348924
star_teammate_ppg,0.003417450842933708
three_pct_l5,0.003285257797102305
defensive_rating_opp,0.003171872209366088
three_pointers_made_per_36_l20,0.0031167770067552945
opp_three_pointers_allowed_to_position,0.003115387396963338
games_played_season,0.003022483062351087
ft_pct_l20,0.002877625310912363
offensive_rating_team,0.0028472142396811064
opp_assists_allowed_to_position,0.002840966455641411
defensive_rating_team,0.0027783534582001084
opp_rebounds_allowed_to_position,0.0027027105951298743
three_pointers_made_l10_weighted,0.0026951548683487397
games_without_star,0.002550699095253215
three_pointers_made_per_36_l5,0.002457658508722873
season_progress,0.0024470837999091164
offensive_rating_opp,0.0023927652981942417
pace_team,0.002376208703498494
opp_points_allowed_to_position,0.002305879254452683
three_pointers_made_per_36_l10,0.0022748273049729233
defensive_rating_l5,0.0022729295232815166
opp_team_steals_per_game,0.0022657465731037545
pace_opp,0.0022637654841926496
ast_to_ratio_l20,0.002119740519880361
opp_team_turnovers_per_game,0.0020762432715826515
true_shooting_pct_l20,0.0020702292855542402
pts_per_fga_l20,0.0020612872160912124
minutes_played_l5,0.002050138192842264
opp_position_turnovers_overall,0.0019630729161573923
opp_field_goal_pct,0.0019221489396909818
opp_three_point_pct,0.001913899119365951
true_shooting_pct_l5,0.0019088254428003106
minutes_played_l20,0.0019052027607609945
pts_per_fga_l5,0.0018964793341309783
net_rating_l5,0.001887507061889351
fg_pct_l10,0.001883975536341861
ast_to_ratio_l5,0.0018776113682384358
pts_per_fga_l10,0.0018635104423744254
three_pointers_made_l5_weighted,0.001847706785577021
fg_pct_l5,0.001835260284625832
true_shooting_pct_l10,0.0018225422129217648
ft_pct_l10,0.0018024561107869324
minutes_trend,0.0017893511874289445
ast_to_ratio_l10,0.0017437685645366528
