feature,importance
turnovers_l20_weighted,0.6253590127004193
turnovers_l20,0.03016363224695622
points_l5_weighted,0.021645175946243555
points_l10_weighted,0.015894789237926154
assists_l5_weighted,0.012949958898519291
assists_l10_weighted,0.012477578949424407
assists_l20_weighted,0.009900792253376494
opp_team_turnovers_per_game,0.007990748342951036
points_l20_weighted,0.007945871234881554
star_teammate_ppg,0.005882905867313969
season_progress,0.005603210665636072
minutes_played_l5_weighted,0.005291247238061387
offensive_rating_team,0.004031958808145047
turnovers_per_36_l20,0.0038654909874221606
opp_position_turnovers_vs_team,0.0038605938521393806
usage_rate_l20,0.003836322965631975
assists_per_36_l10,0.0035389814652224466
defensive_rating_team,0.0034986064835421803
days_since_asb,0.0034826657810712526
usage_rate_l5,0.0033837097843011188
defensive_rating_opp,0.00338229114787167
offensive_rating_opp,0.0030254866587198868
opp_position_steals_overall,0.002967639731610917
pace_opp,0.002834974459946083
ast_to_ratio_l10,0.002816753485870987
rebounds_total_l5_weighted,0.00275073468013219
ast_to_ratio_l5,0.002724628100800074
opp_points_allowed_to_position,0.0026895161338916563
usage_rate_l5_weighted,0.002656793188140046
usage_rate_l10_weighted,0.0026503004470550323
minutes_trend,0.0026256928708735666
turnovers_l5_weighted,0.0025941022182054884
pace_team,0.0025859100138936634
opp_field_goal_pct,0.0025631172492281418
games_played_season,0.0024918317572978983
turnovers_l10_weighted,0.0024915514661048264
usage_rate_l20_weighted,0.002474718854761394
turnovers_per_36_l5,0.00241641572583951
opp_three_point_pct,0.0024128202868061365
assists_per_36_l5,0.00239207496385649
net_rating_l5,0.0023538776284248706
games_without_star,0.002352723649721874
opp_rebounds_allowed_to_position,0.0023218147010313776
assists_per_36_l20,0.0023205135610785185
usage_rate_l10,0.0023020334462516886
offensive_rating_l5,0.0022702516265200364
three_pointers_made_per_36_l5,0.002228701447564683
opp_team_steals_per_game,0.002221560507388747
points_per_36_l5,0.002197030586857605
pts_per_fga_l5,0.0021841839775479975
pts_per_ast_l20,0.0021683024739272694
three_pct_l20,0.0021554601004515213
true_shooting_pct_l5,0.0021530748332524033
turnovers_per_36_l10,0.0021461610034221998
pts_per_ast_l10,0.0021458954557747913
opp_three_pointers_allowed_to_position,0.002134746621932593
fg_pct_l10,0.0020888757303589465
pts_per_ast_l5,0.002046665880567156
assists_l20,0.002036519215354046
ft_pct_l10,0.002033295555708646
ast_to_ratio_l20,0.0020270005515865414
opp_position_turnovers_overall,0.001985830930506667
defensive_rating_l5,0.0019824133857388386
three_pct_l10,0.001977242651304939
true_shooting_pct_l10,0.0019507168142830892
opp_assists_allowed_to_position,0.0019439814585692583
blocks_per_36_l20,0.0019437968499969225
steals_per_36_l5,0.0019145698533068734
steals_per_36_l20,0.0019133296382323585
fg_pct_l20,0.001889921980433637
three_pct_l5,0.0018840754944341952
minutes_played_l5,0.001870358674228626
ft_pct_l20,0.0018694940175743697
offensive_rating_l20,0.0018569108270178227
points_l20,0.0018167283392272917
fg_pct_l5,0.001816245642879586
pts_per_fga_l20,0.0018026445509006176
rebounds_total_l10_weighted,0.001784299583378958
true_shooting_pct_l20,0.0017832196808234887
points_per_36_l20,0.0017718430751117505
net_rating_l20,0.0017616477842478757
offensive_rating_l10,0.001725639734123546
rebounds_total_l20_weighted,0.0016990252813329253
steals_per_36_l10,0.0016841240988331634
three_pointers_made_per_36_l20,0.0016840196529442322
opp_blocks_allowed_to_position,0.0016814213676178004
points_per_36_l10,0.0016729225039037968
opp_position_steals_vs_team,0.001663378715469983
pts_per_fga_l10,0.0016536794362063533
steals_l5_weighted,0.0016392268548293966
three_pointers_made_per_36_l10,0.0016372530626136944
minutes_played_l10_weighted,0.00162569498331733
defensive_rating_l20,0.0016255707978832913
minutes_played_l20,0.001613691663596819
steals_l10_weighted,0.001603933722838902
points_l5,0.0015669083844518916
steals_l20_weighted,0.001534174119006791
rebounds_total_l20,0.001533289631900662
defensive_rating_l10,0.0014815003909670482
rebounds_total_per_36_l20,0.0014732710123490974
ft_pct_l5,0.0014430681611388226
blocks_per_36_l5,0.0013683384950470535
reb_rate_l20,0.0013550556641660453
net_rating_l10,0.0013423369405911757
minutes_played_l20_weighted,0.0013396138747201042
arena_altitude,0.0013346888821488309
three_pointers_made_l5_weighted,0.0013210858285794122
days_rest,0.001300521610534218
points_l10,0.001290565871164524
reb_rate_l5,0.0012791130353885494
blocks_l20_weighted,0.0012606605593263695
blocks_per_36_l10,0.0012569706485947426
minutes_played_l10,0.0012558174708635552
assists_l5,0.001238241436265074
assists_l10,0.0012076231578492468
blocks_l10_weighted,0.001175642133326781
rebounds_total_per_36_l5,0.0011528765326999728
blocks_l5_weighted,0.0011154568778188835
reb_rate_l10,0.0011109870627389019
rebounds_total_per_36_l10,0.0011088330489490577
is_starter_l5,0.0010954441626689752
games_remaining,0.0010898188380490282
consecutive_games,0.0010153751147175525
rebounds_total_l10,0.0009749438065696939
three_pointers_made_l20_weighted,0.0009571161486138212
three_pointers_made_l20,0.0009302558735828041
steals_l20,0.0009260512531414109
turnovers_l10,0.0008624868255313635
three_pointers_made_l10_weighted,0.0008483731589238083
rebounds_total_l5,0.0007573845261935365
blocks_l20,0.0006829842600370072
turnovers_l5,0.0006654224154176649
tz_difference,0.0006219856263572571
is_starter_l10,0.0005705139809045555
games_in_last_7_days,0.0005418525424573129
three_pointers_made_l10,0.0004613980316339117
games_in_last_3_days,0.00043773001996202883
star_teammate_out,0.0004019264358370788
steals_l10,0.0003887264625875854
three_pointers_made_l5,0.00036621287521633195
steals_l5,0.00029436327163183114
blocks_l10,0.00023361175166803844
is_home,0.00020390999346218508
west_to_east,0.00019976705986403224
blocks_l5,0.00019790264385783184
is_well_rested,0.00015401487024726128
is_back_to_back,0.00013634360715187942
post_asb_bounce,7.98745672303501e-05
east_to_west,6.0109453262667576e-05
is_mid_season,5.922298749159639e-05
altitude_away,4.977908418074618e-05
position_guard,3.746076904217139e-05
is_heavy_schedule,3.336544252717632e-05
position_forward,1.5647061119357423e-05
position_center,1.4440706712713797e-05
is_early_season,1.2305781070085777e-05
is_late_season,7.088947968126719e-06
playoff_performance_boost,0.0
playoff_games_career,0.0
is_playoff,0.0
