feature,importance
assists_l20_weighted,0.39830163
assists_l10_weighted,0.10982323
assists_l20,0.020361133
assists_l5_weighted,0.011744211
games_played_season,0.00655594
games_in_last_7_days,0.0058595715
is_starter_l5,0.005792855
minutes_played_l5_weighted,0.005489476
days_since_asb,0.0051789545
reb_rate_l20,0.0051157633
west_to_east,0.005097862
season_progress,0.005011856
points_l5_weighted,0.004746222
star_teammate_ppg,0.0047129937
star_teammate_out,0.004659213
is_mid_season,0.0046286476
assists_l10,0.0045394558
is_starter_l10,0.004432167
turnovers_l5_weighted,0.0043425076
position_center,0.0042821625
days_rest,0.0041906224
opp_assists_allowed_to_position,0.0041786702
defensive_rating_opp,0.0040562814
points_per_36_l5,0.0039525093
assists_per_36_l20,0.0038956595
reb_rate_l5,0.0038496978
usage_rate_l20,0.0038390686
blocks_per_36_l5,0.0038327458
opp_field_goal_pct,0.003777384
position_guard,0.0037394415
is_home,0.0037289963
points_per_36_l10,0.0037174623
games_remaining,0.003715203
blocks_per_36_l20,0.0036670307
true_shooting_pct_l10,0.003663442
blocks_per_36_l10,0.003639206
turnovers_per_36_l10,0.0035996407
ast_to_ratio_l20,0.0035989794
minutes_played_l10_weighted,0.0035935105
reb_rate_l10,0.0035817665
net_rating_l5,0.003565862
defensive_rating_l5,0.0035408197
turnovers_l20_weighted,0.0035317112
turnovers_per_36_l20,0.0035143618
three_pct_l10,0.0034739387
games_without_star,0.0034519571
ft_pct_l10,0.0034501948
opp_position_turnovers_vs_team,0.003403579
net_rating_l10,0.0033927641
points_l10_weighted,0.0033867173
steals_l10_weighted,0.0033821522
net_rating_l20,0.0033738778
steals_per_36_l20,0.0033710646
three_pointers_made_per_36_l20,0.0033052613
three_pointers_made_per_36_l10,0.0032877657
usage_rate_l5,0.0032410922
rebounds_total_per_36_l10,0.0031782978
pts_per_fga_l20,0.0031778438
defensive_rating_l10,0.0031609796
points_per_36_l20,0.0031604476
opp_three_pointers_allowed_to_position,0.00313915
minutes_played_l20_weighted,0.0031357685
rebounds_total_l10_weighted,0.0031044872
offensive_rating_l5,0.003104099
usage_rate_l20_weighted,0.0030986336
fg_pct_l10,0.0030810568
usage_rate_l5_weighted,0.0030807117
turnovers_l10_weighted,0.0030716085
ft_pct_l5,0.0030636957
opp_three_point_pct,0.0030629255
position_forward,0.0030582605
turnovers_l20,0.003057279
pts_per_ast_l20,0.003031246
pts_per_fga_l10,0.003021459
ast_to_ratio_l10,0.003018835
pace_team,0.003001903
blocks_l20_weighted,0.0029984794
defensive_rating_team,0.0029946782
offensive_rating_opp,0.0029945788
arena_altitude,0.0029815203
games_in_last_3_days,0.0029760187
three_pointers_made_l20_weighted,0.002973621
usage_rate_l10_weighted,0.0029600742
minutes_trend,0.0029567871
opp_position_steals_vs_team,0.002930835
three_pointers_made_l5_weighted,0.0029253506
steals_l5_weighted,0.0029098282
ft_pct_l20,0.0028761467
offensive_rating_team,0.0028740752
usage_rate_l10,0.0028687664
pace_opp,0.002867711
assists_per_36_l10,0.0027981286
opp_position_steals_overall,0.0027905663
opp_rebounds_allowed_to_position,0.0027842103
turnovers_per_36_l5,0.0027798763
defensive_rating_l20,0.0027784018
rebounds_total_per_36_l5,0.0027570517
minutes_played_l20,0.0027528415
true_shooting_pct_l5,0.0027509106
three_pointers_made_per_36_l5,0.0027506468
assists_l5,0.0027482894
true_shooting_pct_l20,0.00273055
turnovers_l5,0.0027291204
assists_per_36_l5,0.0027091028
rebounds_total_l5_weighted,0.0027007195
three_pct_l20,0.0027003
three_pointers_made_l10_weighted,0.0026907783
steals_per_36_l10,0.0026813431
steals_l20_weighted,0.0026717482
steals_l20,0.0026648124
opp_team_steals_per_game,0.0026525366
fg_pct_l20,0.002649341
opp_points_allowed_to_position,0.0026470697
pts_per_fga_l5,0.0026419163
steals_per_36_l5,0.0026236824
offensive_rating_l10,0.0026153957
offensive_rating_l20,0.0025935355
rebounds_total_l10,0.002592009
blocks_l10_weighted,0.0025739814
rebounds_total_l20,0.0025588623
consecutive_games,0.002541219
rebounds_total_l20_weighted,0.0025248032
opp_team_turnovers_per_game,0.002519737
rebounds_total_per_36_l20,0.0025130305
pts_per_ast_l5,0.0025112778
turnovers_l10,0.0025062866
fg_pct_l5,0.0024776864
points_l10,0.0024770778
ast_to_ratio_l5,0.0024770016
points_l20_weighted,0.0024745956
pts_per_ast_l10,0.002451178
three_pointers_made_l20,0.0024429532
tz_difference,0.0024013163
blocks_l20,0.0023907868
opp_position_turnovers_overall,0.0023829406
opp_blocks_allowed_to_position,0.0023714148
minutes_played_l10,0.0023648667
three_pct_l5,0.0023528463
blocks_l5_weighted,0.0021798804
minutes_played_l5,0.002067391
three_pointers_made_l10,0.0020650083
points_l20,0.0019557679
three_pointers_made_l5,0.0017293431
east_to_west,0.0016498159
steals_l10,0.0016414784
blocks_l10,0.001544881
blocks_l5,0.0012952253
points_l5,0.0012481525
steals_l5,0.0012042178
rebounds_total_l5,0.0011721859
altitude_away,0.0008844557
post_asb_bounce,0.0
is_late_season,0.0
is_early_season,0.0
is_well_rested,0.0
is_heavy_schedule,0.0
is_back_to_back,0.0
playoff_performance_boost,0.0
playoff_games_career,0.0
is_playoff,0.0
