feature,importance
blocks_l20,0.12231186
blocks_l20_weighted,0.08751595
blocks_l10,0.013226715
rebounds_total_l20_weighted,0.0091026975
rebounds_total_l5_weighted,0.00890428
rebounds_total_l10_weighted,0.0071588955
blocks_l10_weighted,0.006363486
blocks_per_36_l20,0.0063533755
is_starter_l5,0.006245012
days_since_asb,0.0060301037
three_pointers_made_l20_weighted,0.0060054
reb_rate_l20,0.0059744734
net_rating_l20,0.0059443833
rebounds_total_per_36_l20,0.005935941
pts_per_ast_l20,0.005851038
is_late_season,0.005814575
is_starter_l10,0.005764432
points_per_36_l20,0.005713946
pts_per_ast_l10,0.005713276
turnovers_l20_weighted,0.0056961244
rebounds_total_l20,0.005695061
games_played_season,0.005682353
assists_l20_weighted,0.005669731
usage_rate_l20_weighted,0.0056428625
steals_l20_weighted,0.005629586
ast_to_ratio_l20,0.0056268163
opp_blocks_allowed_to_position,0.005581135
points_l10_weighted,0.0055795084
minutes_played_l5_weighted,0.0055680946
minutes_played_l20_weighted,0.005557541
three_pointers_made_per_36_l20,0.0055506057
games_remaining,0.005527162
pts_per_fga_l20,0.0055146073
net_rating_l10,0.005425102
blocks_per_36_l10,0.00541004
net_rating_l5,0.0054093534
usage_rate_l10_weighted,0.0053940797
arena_altitude,0.005387847
defensive_rating_l20,0.0053751087
fg_pct_l20,0.005360299
pts_per_fga_l10,0.005358726
is_mid_season,0.005353506
star_teammate_ppg,0.005350053
assists_per_36_l10,0.005348829
defensive_rating_team,0.0053405114
points_l20_weighted,0.00533734
assists_per_36_l20,0.0053239353
ast_to_ratio_l10,0.0053231963
post_asb_bounce,0.0053088455
points_per_36_l5,0.005305394
turnovers_per_36_l10,0.005300497
three_pointers_made_l10_weighted,0.005297137
games_without_star,0.0052856593
blocks_per_36_l5,0.005285105
ft_pct_l20,0.005275361
steals_per_36_l20,0.005271513
points_per_36_l10,0.0052627423
opp_points_allowed_to_position,0.0052574915
offensive_rating_l20,0.0052460697
turnovers_per_36_l20,0.0052456055
defensive_rating_l5,0.005210321
reb_rate_l10,0.0051977085
opp_assists_allowed_to_position,0.005186822
true_shooting_pct_l20,0.0051863743
three_pointers_made_per_36_l5,0.005184811
pts_per_fga_l5,0.005181605
opp_position_turnovers_overall,0.005172258
defensive_rating_opp,0.00516614
steals_per_36_l10,0.005164438
minutes_played_l20,0.00515118
steals_per_36_l5,0.0051489407
ast_to_ratio_l5,0.0051456764
steals_l10_weighted,0.005143573
offensive_rating_opp,0.005143476
three_pointers_made_per_36_l10,0.0051349225
rebounds_total_per_36_l10,0.0051276707
points_l5_weighted,0.0051191812
opp_field_goal_pct,0.0051162587
opp_team_steals_per_game,0.0051131886
turnovers_per_36_l5,0.0051098843
opp_position_turnovers_vs_team,0.005108378
usage_rate_l5_weighted,0.0050954656
ft_pct_l5,0.005093209
minutes_trend,0.0050906106
offensive_rating_team,0.0050904267
pace_team,0.005085944
games_in_last_7_days,0.0050844294
fg_pct_l10,0.0050841086
three_pointers_made_l5_weighted,0.0050839824
assists_l5_weighted,0.005081902
assists_per_36_l5,0.005080373
pace_opp,0.005078706
opp_rebounds_allowed_to_position,0.0050753052
assists_l10_weighted,0.0050674286
minutes_played_l10_weighted,0.0050571323
opp_position_steals_overall,0.0050488855
opp_team_turnovers_per_game,0.0050483714
altitude_away,0.005029816
true_shooting_pct_l10,0.0050191698
true_shooting_pct_l5,0.0050128484
star_teammate_out,0.0049919295
reb_rate_l5,0.004965006
pts_per_ast_l5,0.004964253
opp_three_pointers_allowed_to_position,0.0049634255
minutes_played_l10,0.0049590836
three_pct_l20,0.0049330667
steals_l5_weighted,0.0049246876
is_back_to_back,0.0049196114
usage_rate_l20,0.0049115913
defensive_rating_l10,0.004907744
season_progress,0.004892438
offensive_rating_l10,0.004892182
turnovers_l10_weighted,0.0048911977
turnovers_l5_weighted,0.004879264
three_pct_l10,0.004860545
consecutive_games,0.0048533925
opp_position_steals_vs_team,0.0048531005
fg_pct_l5,0.0048476406
ft_pct_l10,0.004819796
usage_rate_l10,0.004817478
three_pointers_made_l20,0.0048173307
west_to_east,0.0048133284
offensive_rating_l5,0.0048120967
rebounds_total_per_36_l5,0.004775436
opp_three_point_pct,0.004767257
games_in_last_3_days,0.0047558513
days_rest,0.004731235
three_pct_l5,0.004717308
is_heavy_schedule,0.0046450724
blocks_l5_weighted,0.0046262285
tz_difference,0.00461317
turnovers_l20,0.004612128
is_home,0.004593934
steals_l20,0.0045869136
east_to_west,0.004580752
assists_l20,0.0045442735
points_l20,0.0045053014
minutes_played_l5,0.0044875094
is_early_season,0.0044674547
position_guard,0.0044484814
usage_rate_l5,0.004346327
rebounds_total_l10,0.0040357457
three_pointers_made_l10,0.0038917402
position_forward,0.0037619667
is_well_rested,0.0037568016
points_l10,0.0037424602
turnovers_l10,0.0037130476
steals_l10,0.0036239554
assists_l10,0.003560759
rebounds_total_l5,0.0034094239
position_center,0.003176567
three_pointers_made_l5,0.0026713447
assists_l5,0.0026645656
turnovers_l5,0.0026448218
steals_l5,0.0024877067
points_l5,0.0024272006
blocks_l5,0.0023257663
playoff_performance_boost,0.0
playoff_games_career,0.0
is_playoff,0.0
