feature,importance
points_l20_weighted,0.32384413
points_l10_weighted,0.3095796
points_l20,0.059389003
points_l5_weighted,0.013040299
minutes_played_l5_weighted,0.010352739
is_starter_l5,0.00594595
season_progress,0.0055740667
usage_rate_l20_weighted,0.005457168
usage_rate_l20,0.005379483
games_played_season,0.004524816
is_starter_l10,0.004458002
games_in_last_7_days,0.004345963
star_teammate_out,0.0039333156
days_since_asb,0.0037085323
games_in_last_3_days,0.0036561077
star_teammate_ppg,0.0036123632
usage_rate_l5_weighted,0.0035264224
offensive_rating_l20,0.003524573
days_rest,0.0034272545
usage_rate_l10_weighted,0.003132907
true_shooting_pct_l10,0.0030430409
minutes_played_l20_weighted,0.0028722277
games_remaining,0.0028199484
three_pct_l20,0.0026447298
three_pct_l10,0.0024729173
altitude_away,0.0024188054
net_rating_l5,0.0023316527
pace_opp,0.0023255576
fg_pct_l10,0.0022879639
assists_per_36_l10,0.0022853771
pts_per_fga_l10,0.002139099
defensive_rating_opp,0.0021192366
reb_rate_l20,0.0021124734
rebounds_total_l10_weighted,0.002090034
three_pct_l5,0.0020859835
is_mid_season,0.0020637596
fg_pct_l20,0.0020523213
true_shooting_pct_l20,0.002045628
points_per_36_l5,0.0020271325
reb_rate_l5,0.001994353
assists_l5_weighted,0.0019928818
opp_three_pointers_allowed_to_position,0.0019770863
turnovers_l5_weighted,0.00196337
three_pointers_made_per_36_l10,0.0019076534
rebounds_total_per_36_l20,0.0019030666
usage_rate_l5,0.001897776
ft_pct_l20,0.0018929683
west_to_east,0.0018872229
assists_l20_weighted,0.0018587752
minutes_played_l10,0.0018566529
assists_per_36_l20,0.0018385282
defensive_rating_team,0.0018299168
opp_position_steals_overall,0.0018101828
defensive_rating_l10,0.0018072146
assists_l10_weighted,0.001805743
pts_per_fga_l5,0.0018054999
rebounds_total_l5_weighted,0.0017985385
minutes_played_l10_weighted,0.0017876474
games_without_star,0.0017874646
blocks_per_36_l20,0.0017845669
pts_per_fga_l20,0.0017705093
rebounds_total_per_36_l10,0.0017601359
turnovers_l20_weighted,0.0017462658
rebounds_total_per_36_l5,0.0017434444
is_back_to_back,0.0017314776
rebounds_total_l20_weighted,0.0017293044
defensive_rating_l5,0.0017164092
ast_to_ratio_l10,0.0017057509
true_shooting_pct_l5,0.0016979171
defensive_rating_l20,0.0016973756
three_pointers_made_per_36_l20,0.001696669
arena_altitude,0.0016941928
is_heavy_schedule,0.0016905428
is_home,0.0016891537
assists_l10,0.0016861556
pts_per_ast_l20,0.0016845668
opp_rebounds_allowed_to_position,0.0016831645
net_rating_l20,0.0016809367
opp_field_goal_pct,0.0016809243
opp_team_steals_per_game,0.0016799711
minutes_played_l20,0.0016789272
three_pointers_made_l20_weighted,0.001671661
turnovers_per_36_l20,0.0016613357
blocks_per_36_l10,0.001657132
pts_per_ast_l5,0.0016556002
points_per_36_l20,0.0016553601
blocks_l20,0.0016509759
assists_l20,0.0016403765
points_l10,0.0016314308
turnovers_per_36_l5,0.0016313528
minutes_trend,0.001631066
net_rating_l10,0.0016291195
ast_to_ratio_l20,0.0016248454
offensive_rating_opp,0.0016189609
offensive_rating_l5,0.0015997993
ast_to_ratio_l5,0.0015995144
three_pointers_made_l5_weighted,0.0015902095
three_pointers_made_per_36_l5,0.0015880401
usage_rate_l10,0.0015861568
reb_rate_l10,0.0015713499
blocks_l20_weighted,0.0015705182
turnovers_l10_weighted,0.0015618568
opp_position_turnovers_vs_team,0.0015586077
blocks_per_36_l5,0.0015579084
turnovers_l20,0.0015289875
pace_team,0.0015249146
opp_team_turnovers_per_game,0.0015225803
steals_per_36_l10,0.0015169372
three_pointers_made_l10,0.0015118164
fg_pct_l5,0.0015108831
steals_l20_weighted,0.0015044134
turnovers_per_36_l10,0.0014946918
assists_per_36_l5,0.0014925833
steals_l10_weighted,0.0014902016
pts_per_ast_l10,0.0014887172
opp_position_turnovers_overall,0.0014854249
opp_points_allowed_to_position,0.001483707
east_to_west,0.0014746346
opp_assists_allowed_to_position,0.001452407
steals_per_36_l5,0.0014515426
three_pointers_made_l10_weighted,0.0014486796
three_pointers_made_l20,0.0014461621
tz_difference,0.0014425416
offensive_rating_team,0.0014358757
offensive_rating_l10,0.0014351652
opp_three_point_pct,0.0014253131
points_per_36_l10,0.0014064081
blocks_l10_weighted,0.0013998408
rebounds_total_l20,0.0013848678
consecutive_games,0.0013814884
steals_l5_weighted,0.0013554833
steals_per_36_l20,0.0013461611
rebounds_total_l10,0.0013457526
opp_position_steals_vs_team,0.0013306716
turnovers_l10,0.0013127429
steals_l20,0.0012872403
turnovers_l5,0.0012851278
is_early_season,0.0012823783
minutes_played_l5,0.0012366312
ft_pct_l10,0.001224688
blocks_l5_weighted,0.0012145067
opp_blocks_allowed_to_position,0.0011794543
ft_pct_l5,0.0011677316
three_pointers_made_l5,0.0010991076
blocks_l10,0.00100334
assists_l5,0.0009861223
steals_l10,0.0009485156
post_asb_bounce,0.0009270465
blocks_l5,0.00080591196
points_l5,0.000799492
steals_l5,0.00067978847
rebounds_total_l5,0.00064867525
is_well_rested,0.0005679229
position_guard,0.0
playoff_games_career,0.0
position_forward,0.0
position_center,0.0
is_late_season,0.0
playoff_performance_boost,0.0
is_playoff,0.0
