feature,importance
rebounds_total_l20_weighted,0.2925112
rebounds_total_l10_weighted,0.1667959
rebounds_total_l20,0.08125208
games_played_season,0.006894953
is_starter_l5,0.0066230115
rebounds_total_l5_weighted,0.006021954
position_forward,0.005655383
days_rest,0.0055113365
minutes_played_l5_weighted,0.005328539
minutes_played_l20_weighted,0.005289695
games_in_last_7_days,0.0052193594
position_guard,0.005108405
days_since_asb,0.00510043
games_in_last_3_days,0.0048605567
is_early_season,0.0045818123
tz_difference,0.004500325
season_progress,0.0044181533
star_teammate_ppg,0.004416991
net_rating_l5,0.0044075605
star_teammate_out,0.0043842173
points_l5_weighted,0.0043436266
blocks_l20_weighted,0.0042602755
games_remaining,0.0040519065
is_starter_l10,0.0040380848
opp_three_pointers_allowed_to_position,0.00403714
position_center,0.0038631095
west_to_east,0.003828657
rebounds_total_per_36_l20,0.0037676382
pts_per_fga_l20,0.003741139
true_shooting_pct_l10,0.0037129666
pace_opp,0.003680905
turnovers_l20_weighted,0.0036233058
defensive_rating_l10,0.0035734766
usage_rate_l20,0.003510318
usage_rate_l10_weighted,0.0035079955
minutes_played_l20,0.003484472
defensive_rating_l5,0.0034382015
points_per_36_l10,0.0034350501
blocks_l10_weighted,0.0033193275
pts_per_ast_l10,0.0033079467
assists_l5_weighted,0.0031991282
fg_pct_l20,0.0031990288
blocks_l5_weighted,0.0031687834
opp_assists_allowed_to_position,0.0031478803
opp_position_turnovers_vs_team,0.003100735
is_back_to_back,0.0030990953
three_pointers_made_l10_weighted,0.0030968206
steals_per_36_l5,0.003079049
fg_pct_l10,0.003053508
defensive_rating_l20,0.0030215664
is_well_rested,0.003013279
steals_l10_weighted,0.0030052022
offensive_rating_l10,0.0029934284
opp_blocks_allowed_to_position,0.002984828
ast_to_ratio_l5,0.0029814825
ast_to_ratio_l10,0.0029809803
three_pointers_made_per_36_l5,0.0029806218
offensive_rating_opp,0.0029531482
usage_rate_l10,0.0029464914
offensive_rating_l20,0.0029364144
three_pointers_made_l20,0.0029319136
reb_rate_l20,0.002921591
three_pct_l20,0.0029184625
assists_per_36_l20,0.0029139796
ft_pct_l20,0.0029120208
assists_l10_weighted,0.0029120205
points_l20_weighted,0.0029028913
points_per_36_l5,0.0028929247
pts_per_ast_l20,0.0028897563
is_home,0.002876288
turnovers_per_36_l20,0.0028666335
opp_position_turnovers_overall,0.002859819
defensive_rating_team,0.0028587177
true_shooting_pct_l5,0.0028583994
three_pct_l10,0.002855519
blocks_per_36_l10,0.0028542925
three_pointers_made_per_36_l20,0.0028335447
minutes_trend,0.0028183844
defensive_rating_opp,0.002814233
turnovers_per_36_l10,0.0028130664
opp_points_allowed_to_position,0.002805445
opp_three_point_pct,0.0027892797
games_without_star,0.0027797269
steals_l10,0.002774035
pace_team,0.002769677
minutes_played_l10,0.0027567002
opp_field_goal_pct,0.0027566578
net_rating_l20,0.0027525004
three_pointers_made_l5_weighted,0.0027387266
minutes_played_l10_weighted,0.0027292827
pts_per_ast_l5,0.0027170517
points_l10_weighted,0.0027059356
steals_per_36_l10,0.0027017538
is_mid_season,0.002696334
pts_per_fga_l10,0.0026915001
minutes_played_l5,0.0026881914
rebounds_total_per_36_l10,0.0026771864
blocks_per_36_l20,0.0026731752
assists_per_36_l10,0.0026556735
opp_rebounds_allowed_to_position,0.0026542207
steals_l20_weighted,0.0026441037
turnovers_l5_weighted,0.0026277143
offensive_rating_team,0.0026266559
assists_l20,0.002615816
points_l20,0.0026056084
reb_rate_l10,0.002603827
assists_per_36_l5,0.0025963467
fg_pct_l5,0.0025926316
ast_to_ratio_l20,0.0025826201
points_per_36_l20,0.0025814394
blocks_l20,0.0025798164
opp_position_steals_overall,0.0025770292
arena_altitude,0.002564348
usage_rate_l5,0.002550503
blocks_per_36_l5,0.0025459463
opp_team_steals_per_game,0.0025436787
turnovers_l10_weighted,0.002541414
steals_l5_weighted,0.002537958
opp_position_steals_vs_team,0.0025252604
turnovers_l10,0.0025242765
offensive_rating_l5,0.0025211058
assists_l20_weighted,0.0025067476
usage_rate_l5_weighted,0.0025046647
net_rating_l10,0.0024778456
true_shooting_pct_l20,0.0024769797
turnovers_l20,0.0024611817
consecutive_games,0.002415471
steals_per_36_l20,0.0023591511
blocks_l10,0.0023534396
rebounds_total_per_36_l5,0.0023223145
three_pointers_made_per_36_l10,0.0023102942
three_pointers_made_l20_weighted,0.0022972233
points_l10,0.0022947136
usage_rate_l20_weighted,0.0022901655
ft_pct_l5,0.0022824903
turnovers_per_36_l5,0.0022718566
pts_per_fga_l5,0.0022350068
opp_team_turnovers_per_game,0.0022131184
reb_rate_l5,0.002178587
ft_pct_l10,0.002173998
steals_l20,0.0021569177
post_asb_bounce,0.0021557712
rebounds_total_l10,0.0021229004
east_to_west,0.00208915
assists_l10,0.0020572848
three_pct_l5,0.002052755
rebounds_total_l5,0.0017925567
three_pointers_made_l10,0.0017472422
altitude_away,0.0017200707
blocks_l5,0.0014475781
assists_l5,0.0011959377
turnovers_l5,0.0011929162
steals_l5,0.0011684349
three_pointers_made_l5,0.001110434
points_l5,0.0011103743
is_late_season,0.0
is_heavy_schedule,0.0
playoff_performance_boost,0.0
playoff_games_career,0.0
is_playoff,0.0
