feature,importance
steals_l20,0.08974423
steals_l20_weighted,0.037569743
minutes_played_l5_weighted,0.033512983
minutes_played_l10_weighted,0.011011436
position_guard,0.00940351
star_teammate_out,0.008929713
is_heavy_schedule,0.008912134
reb_rate_l10,0.008159019
assists_l20_weighted,0.00812757
is_starter_l5,0.00787033
assists_l10_weighted,0.00705958
days_since_asb,0.0069196015
net_rating_l10,0.0068008485
net_rating_l5,0.0067118276
minutes_played_l20_weighted,0.006614475
star_teammate_ppg,0.0065561617
assists_l5_weighted,0.0063498337
is_starter_l10,0.0063367593
opp_team_steals_per_game,0.006306653
days_rest,0.006279847
net_rating_l20,0.0062647527
season_progress,0.006187073
defensive_rating_l5,0.0061343894
rebounds_total_l20_weighted,0.006088226
is_late_season,0.006034945
blocks_l20_weighted,0.0060112714
three_pointers_made_l20_weighted,0.006004121
assists_per_36_l20,0.0059897956
assists_l20,0.005974849
points_l10_weighted,0.0059195342
three_pointers_made_per_36_l20,0.0059181377
altitude_away,0.005909993
blocks_per_36_l20,0.0058889845
points_l5_weighted,0.005872911
points_l20_weighted,0.005866666
games_remaining,0.005830206
rebounds_total_l10_weighted,0.005781677
opp_position_steals_vs_team,0.0057655154
usage_rate_l10_weighted,0.005733197
usage_rate_l20_weighted,0.0057226727
pts_per_ast_l20,0.005711222
opp_assists_allowed_to_position,0.005660742
minutes_trend,0.0056480025
games_played_season,0.0056359456
steals_l10_weighted,0.005635491
defensive_rating_l10,0.005631673
rebounds_total_per_36_l20,0.00562206
turnovers_l20_weighted,0.0056193247
steals_per_36_l20,0.0056019775
games_without_star,0.00559782
three_pointers_made_per_36_l5,0.005566138
east_to_west,0.005555688
assists_per_36_l10,0.0055427644
ast_to_ratio_l20,0.0055370373
blocks_per_36_l10,0.0055242395
minutes_played_l20,0.0055131847
games_in_last_3_days,0.0055048387
rebounds_total_l5_weighted,0.005487459
pts_per_fga_l20,0.0054496164
opp_rebounds_allowed_to_position,0.0054390514
three_pointers_made_per_36_l10,0.0054328856
three_pointers_made_l20,0.005430491
defensive_rating_l20,0.005426604
defensive_rating_opp,0.005426328
pts_per_fga_l10,0.0054207603
ft_pct_l20,0.005420457
opp_points_allowed_to_position,0.0054154703
turnovers_l10_weighted,0.00541369
usage_rate_l5_weighted,0.005401015
turnovers_per_36_l10,0.005400778
pace_team,0.005398876
points_per_36_l20,0.0053928173
rebounds_total_per_36_l10,0.0053926883
rebounds_total_l20,0.0053875973
minutes_played_l10,0.00534567
turnovers_per_36_l20,0.005333359
true_shooting_pct_l20,0.0053319633
three_pointers_made_l5_weighted,0.0053226706
points_per_36_l10,0.0053179804
points_l20,0.005308454
points_per_36_l5,0.0053063487
three_pct_l20,0.005303237
steals_per_36_l5,0.005303223
three_pct_l10,0.005295992
turnovers_per_36_l5,0.005293795
three_pointers_made_l10_weighted,0.0052890484
ast_to_ratio_l5,0.005283165
turnovers_l5_weighted,0.005263555
assists_per_36_l5,0.005255806
offensive_rating_team,0.0052534007
ast_to_ratio_l10,0.0052523925
offensive_rating_l20,0.0052350005
is_mid_season,0.0052307704
three_pct_l5,0.005228753
consecutive_games,0.005226658
blocks_per_36_l5,0.00522639
offensive_rating_l5,0.0052183
defensive_rating_team,0.005202638
usage_rate_l10,0.0052024727
pts_per_ast_l10,0.0051853047
steals_l5_weighted,0.0051819785
tz_difference,0.00518087
west_to_east,0.0051705106
true_shooting_pct_l5,0.005167791
fg_pct_l10,0.005166201
fg_pct_l20,0.0051661693
steals_per_36_l10,0.005163915
post_asb_bounce,0.0051620896
offensive_rating_l10,0.0051577953
blocks_l10_weighted,0.0051565696
ft_pct_l10,0.00514073
pts_per_fga_l5,0.0051268945
opp_position_turnovers_vs_team,0.005110285
games_in_last_7_days,0.005103837
opp_three_pointers_allowed_to_position,0.0050988053
true_shooting_pct_l10,0.0050928527
pts_per_ast_l5,0.005091551
minutes_played_l5,0.005074954
usage_rate_l20,0.00506924
offensive_rating_opp,0.0050685694
opp_field_goal_pct,0.0050681266
rebounds_total_per_36_l5,0.005053455
blocks_l5_weighted,0.005048409
pace_opp,0.00502993
turnovers_l20,0.0050291615
fg_pct_l5,0.005025746
usage_rate_l5,0.005014034
opp_position_steals_overall,0.004999965
assists_l10,0.0049876785
opp_team_turnovers_per_game,0.004986916
blocks_l20,0.004953371
opp_three_point_pct,0.0049392753
opp_position_turnovers_overall,0.004939116
arena_altitude,0.0049276506
ft_pct_l5,0.004922003
opp_blocks_allowed_to_position,0.0049209786
position_forward,0.004841419
is_back_to_back,0.004822837
rebounds_total_l10,0.0047353194
position_center,0.0047050556
steals_l10,0.004703835
three_pointers_made_l10,0.004688003
points_l10,0.004686315
reb_rate_l5,0.004662135
turnovers_l10,0.0045938706
reb_rate_l20,0.004591703
is_home,0.004466289
blocks_l10,0.004253728
assists_l5,0.0038875286
points_l5,0.003832003
rebounds_total_l5,0.003798592
blocks_l5,0.0037493291
is_well_rested,0.0037091968
turnovers_l5,0.0036972663
three_pointers_made_l5,0.0034587372
steals_l5,0.00328321
is_early_season,0.0
playoff_performance_boost,0.0
playoff_games_career,0.0
is_playoff,0.0
