feature,importance
three_pointers_made_l20_weighted,0.258167
three_pointers_made_l20,0.033239402
three_pointers_made_l10_weighted,0.018461328
three_pct_l10,0.011157972
three_pct_l20,0.009765769
star_teammate_out,0.009269064
games_in_last_3_days,0.009231006
is_starter_l5,0.009035722
minutes_played_l5_weighted,0.008146357
turnovers_per_36_l20,0.0076352577
fg_pct_l20,0.0074483864
games_in_last_7_days,0.0072682165
days_since_asb,0.0071043917
three_pct_l5,0.006855659
is_well_rested,0.006700075
season_progress,0.0066614174
days_rest,0.0065574064
three_pointers_made_l5_weighted,0.0064414185
tz_difference,0.006169015
opp_rebounds_allowed_to_position,0.0061538736
games_played_season,0.006143092
is_starter_l10,0.006009981
games_remaining,0.0059250444
opp_three_pointers_allowed_to_position,0.0058375555
star_teammate_ppg,0.00575881
defensive_rating_opp,0.0056452523
minutes_played_l5,0.005602062
ft_pct_l20,0.0055609494
usage_rate_l20,0.005536686
three_pointers_made_per_36_l20,0.00547675
ft_pct_l10,0.00541407
opp_position_steals_vs_team,0.005369014
blocks_per_36_l10,0.005305761
rebounds_total_per_36_l10,0.0052657444
blocks_l10_weighted,0.0052608186
pts_per_ast_l20,0.005202646
reb_rate_l10,0.00517025
defensive_rating_l20,0.005121814
defensive_rating_l5,0.0051091425
minutes_played_l20,0.0050884397
points_per_36_l10,0.0050838683
blocks_l20_weighted,0.005064733
reb_rate_l20,0.004980193
net_rating_l20,0.0049545807
fg_pct_l10,0.00494445
ast_to_ratio_l20,0.0049414826
pts_per_fga_l20,0.0049367845
assists_l10_weighted,0.0049170004
minutes_played_l10,0.0049122707
games_without_star,0.0049020224
minutes_trend,0.004884627
opp_assists_allowed_to_position,0.0048686564
turnovers_l10_weighted,0.0048351223
ft_pct_l5,0.0048334133
steals_l20_weighted,0.0048256633
opp_field_goal_pct,0.0048172846
steals_per_36_l20,0.004803442
points_per_36_l20,0.004787575
defensive_rating_team,0.0047451234
blocks_per_36_l5,0.004732348
rebounds_total_l10_weighted,0.0047299485
usage_rate_l5,0.0047264984
defensive_rating_l10,0.0047203545
usage_rate_l10,0.0047111157
assists_l20_weighted,0.0047004917
consecutive_games,0.004669358
points_l20,0.00466474
pts_per_ast_l10,0.0046418444
pts_per_fga_l5,0.0046090647
fg_pct_l5,0.0046021887
true_shooting_pct_l5,0.0045933104
blocks_per_36_l20,0.004564422
offensive_rating_opp,0.004540907
turnovers_l20_weighted,0.004535882
assists_per_36_l5,0.004532884
three_pointers_made_l10,0.0045199906
turnovers_per_36_l5,0.004519632
rebounds_total_per_36_l20,0.0045183906
rebounds_total_l20_weighted,0.0044957343
is_home,0.004480542
pace_opp,0.0044609327
opp_points_allowed_to_position,0.004447573
offensive_rating_l5,0.0044091274
points_l10_weighted,0.0043912297
offensive_rating_team,0.0043800026
minutes_played_l10_weighted,0.00437222
opp_position_steals_overall,0.004369022
turnovers_l5_weighted,0.0043639704
opp_three_point_pct,0.0043616635
ast_to_ratio_l10,0.0043144207
ast_to_ratio_l5,0.004303564
pts_per_fga_l10,0.004291079
net_rating_l5,0.0042877533
usage_rate_l10_weighted,0.004284012
points_l5_weighted,0.0042836736
net_rating_l10,0.0042704483
usage_rate_l5_weighted,0.0042691003
assists_l5_weighted,0.0042624697
minutes_played_l20_weighted,0.004252743
usage_rate_l20_weighted,0.0042290227
turnovers_per_36_l10,0.004222257
steals_l10_weighted,0.004213291
three_pointers_made_per_36_l5,0.004202509
assists_l20,0.0041812365
steals_per_36_l10,0.004173732
rebounds_total_l20,0.0041729044
opp_position_turnovers_overall,0.0041465177
opp_team_steals_per_game,0.00414146
rebounds_total_l5_weighted,0.0041369526
assists_per_36_l20,0.00410202
blocks_l20,0.004076188
pace_team,0.0040616654
three_pointers_made_per_36_l10,0.0040541952
steals_l20,0.0040393462
rebounds_total_per_36_l5,0.004013174
offensive_rating_l20,0.0039873873
points_per_36_l5,0.0039337566
opp_position_turnovers_vs_team,0.0039088475
opp_blocks_allowed_to_position,0.0038597137
steals_per_36_l5,0.0038548466
opp_team_turnovers_per_game,0.0038072544
altitude_away,0.0038053782
turnovers_l10,0.0037787233
reb_rate_l5,0.0036884898
turnovers_l20,0.0036601122
arena_altitude,0.0036369846
true_shooting_pct_l20,0.0036339564
assists_per_36_l10,0.003615463
west_to_east,0.0036120564
blocks_l5_weighted,0.003554264
steals_l5_weighted,0.0035371133
offensive_rating_l10,0.003429101
rebounds_total_l10,0.0033770197
assists_l10,0.0033040198
steals_l10,0.0032559028
three_pointers_made_l5,0.003241526
pts_per_ast_l5,0.003233772
points_l10,0.0031668239
blocks_l10,0.0031360688
points_l20_weighted,0.003132948
turnovers_l5,0.0030863225
true_shooting_pct_l10,0.0029942428
position_guard,0.0027286434
assists_l5,0.00226941
is_mid_season,0.0019910457
steals_l5,0.0019889283
blocks_l5,0.0017090378
east_to_west,0.001528436
points_l5,0.0014459456
rebounds_total_l5,0.0014443864
is_back_to_back,0.0
playoff_performance_boost,0.0
position_forward,0.0
position_center,0.0
post_asb_bounce,0.0
is_late_season,0.0
is_early_season,0.0
is_heavy_schedule,0.0
playoff_games_career,0.0
is_playoff,0.0
