feature,importance
turnovers_l20_weighted,0.30184218
turnovers_l20,0.10329685
points_l10_weighted,0.026263945
points_l20_weighted,0.02387615
points_l5_weighted,0.017797042
turnovers_l10,0.016334534
assists_l20_weighted,0.014331748
assists_l10_weighted,0.014248488
minutes_played_l5_weighted,0.011252043
is_starter_l5,0.010314899
assists_l5_weighted,0.010096252
assists_per_36_l10,0.006643514
usage_rate_l5_weighted,0.006156528
reb_rate_l20,0.006037814
star_teammate_out,0.005682659
opp_team_turnovers_per_game,0.00563658
games_played_season,0.005420897
assists_l20,0.005357381
season_progress,0.0052370066
usage_rate_l20,0.0052314624
days_since_asb,0.0049960045
is_starter_l10,0.0048664673
assists_l5,0.0046087382
rebounds_total_l20_weighted,0.004502484
usage_rate_l20_weighted,0.0043369457
turnovers_per_36_l20,0.004256917
star_teammate_ppg,0.004240688
usage_rate_l5,0.0042396793
rebounds_total_per_36_l20,0.0042312467
days_rest,0.0041416152
opp_position_turnovers_vs_team,0.0041017206
games_in_last_7_days,0.0039734687
points_per_36_l10,0.0039604036
altitude_away,0.003842656
defensive_rating_l20,0.0037876691
usage_rate_l10,0.0037368096
ast_to_ratio_l10,0.00372911
three_pointers_made_per_36_l5,0.0037077486
blocks_per_36_l20,0.0037000456
minutes_played_l10_weighted,0.0036794373
assists_per_36_l20,0.0036724282
minutes_played_l20_weighted,0.0036669122
rebounds_total_l5_weighted,0.003595174
usage_rate_l10_weighted,0.0035780643
fg_pct_l10,0.003568382
minutes_trend,0.0035464438
pts_per_ast_l20,0.003537264
offensive_rating_l10,0.0034906652
rebounds_total_l10_weighted,0.003455157
blocks_per_36_l10,0.0034444924
defensive_rating_opp,0.0034412458
three_pointers_made_per_36_l20,0.0034253546
opp_field_goal_pct,0.00342262
games_remaining,0.0034087882
offensive_rating_l5,0.0033919401
fg_pct_l20,0.0033820358
steals_per_36_l20,0.0033675157
pts_per_ast_l10,0.003365108
offensive_rating_team,0.0033641052
is_home,0.0033554272
three_pointers_made_l10_weighted,0.0033311201
points_per_36_l20,0.0032805803
arena_altitude,0.0032301121
blocks_per_36_l5,0.0032261647
assists_l10,0.0032258055
three_pct_l20,0.003223264
blocks_l10_weighted,0.0032211582
true_shooting_pct_l20,0.003216229
ft_pct_l20,0.0032108354
ft_pct_l10,0.003198995
assists_per_36_l5,0.0031897349
three_pointers_made_l5_weighted,0.0031731713
reb_rate_l5,0.0031603074
pts_per_ast_l5,0.0031537456
rebounds_total_per_36_l10,0.0031406821
pts_per_fga_l5,0.0031339973
points_per_36_l5,0.003132516
ast_to_ratio_l5,0.0031128824
three_pct_l5,0.00310036
defensive_rating_l10,0.003092228
games_in_last_3_days,0.0030876996
opp_three_pointers_allowed_to_position,0.0030694196
blocks_l20_weighted,0.0030637423
games_without_star,0.0030516444
ast_to_ratio_l20,0.0030428197
rebounds_total_per_36_l5,0.0030354636
net_rating_l20,0.0030339728
defensive_rating_team,0.0030245243
west_to_east,0.0030081358
opp_position_steals_vs_team,0.0029705153
opp_position_steals_overall,0.0029587455
blocks_l5_weighted,0.0029556775
three_pointers_made_l20_weighted,0.002936098
defensive_rating_l5,0.0029227422
pace_team,0.0029167503
pts_per_fga_l10,0.002906557
three_pointers_made_l10,0.0028832646
net_rating_l5,0.0028777083
true_shooting_pct_l5,0.0028755355
offensive_rating_opp,0.0028673653
three_pct_l10,0.0028555496
opp_points_allowed_to_position,0.0028503318
three_pointers_made_per_36_l10,0.0028398375
turnovers_per_36_l10,0.0028342588
true_shooting_pct_l10,0.0028272888
fg_pct_l5,0.0028227095
turnovers_l5_weighted,0.002815463
rebounds_total_l20,0.002801428
pts_per_fga_l20,0.002750016
offensive_rating_l20,0.0027338013
opp_position_turnovers_overall,0.0027328348
turnovers_l10_weighted,0.0027280068
points_l10,0.0027115883
net_rating_l10,0.0027057086
opp_blocks_allowed_to_position,0.0027048672
minutes_played_l20,0.0027042043
pace_opp,0.002676035
opp_rebounds_allowed_to_position,0.0026727666
steals_per_36_l10,0.0026472746
steals_l20_weighted,0.0026437095
opp_three_point_pct,0.002636359
turnovers_l5,0.0026208183
turnovers_per_36_l5,0.0026165203
opp_assists_allowed_to_position,0.0025671746
post_asb_bounce,0.0025627762
minutes_played_l5,0.0025323252
steals_per_36_l5,0.0025230309
three_pointers_made_l20,0.0024425122
minutes_played_l10,0.0024369464
reb_rate_l10,0.00243372
opp_team_steals_per_game,0.0024136845
points_l20,0.0023968609
steals_l5_weighted,0.0023719615
is_mid_season,0.0023713424
tz_difference,0.0023438723
consecutive_games,0.0023401184
steals_l10_weighted,0.0023386793
blocks_l20,0.0023106507
is_back_to_back,0.0022760397
east_to_west,0.0022612114
ft_pct_l5,0.0022461184
steals_l10,0.0021479246
rebounds_total_l10,0.0020824778
blocks_l10,0.0020563062
three_pointers_made_l5,0.001953028
steals_l20,0.0018900876
rebounds_total_l5,0.001656334
steals_l5,0.0016204593
points_l5,0.0013574547
blocks_l5,0.0012768228
position_forward,0.001116832
position_guard,0.0003227582
is_heavy_schedule,0.0
playoff_performance_boost,0.0
playoff_games_career,0.0
is_well_rested,0.0
is_early_season,0.0
position_center,0.0
is_late_season,0.0
is_playoff,0.0
